Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
BHARAT STAGE III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHARAT STAGE IV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,43
BHARAT STAGE VI,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,166,1,0,0,19,0,0,1,0,0,1,0,0,4,3,0,0,1,1,203
Bharat Stage III CEV,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
CEV STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EURO 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
Not Available,23,29358,2,40697,55751,22364,2718,142,62245,5682,68944,1011,25862,13680,4690,95644,39612,40,1,136043,41,341,36816,36,3,28442,14057,1481,78217,66992,4177,15561,162864,11153,1024690
Total,23,29358,2,40699,55751,22364,2719,142,62249,5682,68993,1011,25862,13680,4690,95846,39617,40,1,136063,41,341,36818,36,3,28446,14057,1481,78221,66995,4177,15561,162868,11156,1024993
