Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,2,0,0,1,0,0,0,1,0,6,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27
Agricultural Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4
Bus,0,26,0,0,1,0,40,15,399,17,183,0,0,0,0,364,40,10,0,336,0,0,20,0,0,30,0,0,5,0,0,24,467,10,1987
Construction Equipment Vehicle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Excavator (Commercial),0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Fork Lift,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Goods Carrier,0,0,0,7,13,1,0,2,6,15,3,1,9,0,0,6,0,0,0,20,0,0,0,0,0,1,16,2,0,184,7,0,31,2,326
Luxury Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61
M-Cycle/Scooter,1,26256,1,1899,9743,13610,823,28,34567,4917,56506,933,11189,6409,420,78311,33256,0,1,113255,22,125,22404,36,3,24394,5706,1399,50312,52349,186,5697,22534,8030,585322
M-Cycle/Scooter-With Side Car,0,1,0,2,14,8,0,0,5,2,4,10,4,0,0,63,25,0,0,0,0,0,0,0,0,4,1,0,9,117,0,0,12,0,281
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moped,0,89,0,0,180,2777,0,58,1,6,7655,0,142,0,1713,2675,1,20,0,4298,0,0,30,0,0,1118,9,8,2649,3026,0,1,104,0,26560
Motor Cab,3,10,0,3,0,21,3,0,2514,0,19,0,422,53,0,944,27,0,0,642,0,0,20,0,0,31,6,19,39,3,0,25,30,86,4920
Motor Car,4,767,1,79,134,345,269,16,3137,622,2782,44,407,103,48,3387,3799,10,0,11027,10,1,515,0,0,406,38,25,1443,2451,0,358,186,804,33218
Motor Cycle/Scooter-SideCar(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Motor Cycle/Scooter-Used For Hire,15,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3922,2,0,0,0,0,0,0,0,0,36,0,0,22,0,0,1,20,0,4021
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Motorised Cycle (CC 25cc),0,1236,0,0,1,0,33,2,0,65,419,2,373,321,0,1928,173,0,0,41,0,0,0,0,0,173,1895,3,1134,6125,10,0,929,386,15249
Omni Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Omni Bus (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Private Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Private Service Vehicle (Individual Use),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Three Wheeler (Goods),0,332,0,70,124,115,29,19,4099,8,629,4,392,81,0,1858,305,0,0,988,2,0,0,0,0,266,151,2,418,2415,20,8,352,425,13112
Three Wheeler (Passenger),0,490,0,500,636,603,100,2,1097,6,164,1,1131,158,17,1429,1527,0,0,404,5,0,1,0,0,220,116,2,199,8,1254,282,1354,343,12049
Three Wheeler (Personal),0,0,0,0,0,31,0,0,0,1,5,0,0,0,0,2,29,0,0,25,2,0,0,0,0,0,0,0,0,32,0,0,0,0,127
Trailer (Agricultural),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e-Rickshaw with Cart (G),0,90,0,418,1028,522,278,0,2814,21,228,4,1284,138,132,576,211,0,0,1502,0,5,1277,0,0,519,317,11,4137,273,0,316,5547,162,21810
e-Rickshaw(P),0,46,0,37721,43876,4331,1143,0,13609,2,339,11,10509,6417,2358,366,214,0,0,3523,0,210,12551,0,0,1247,5799,10,17852,12,2700,8849,131301,846,305842
Total,23,29358,2,40699,55751,22364,2719,142,62249,5682,68993,1011,25862,13680,4690,95846,39617,40,1,136063,41,341,36818,36,3,28446,14057,1481,78221,66995,4177,15561,162868,11156,1024993
