Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10
Agricultural Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4
Bus,40,0,0,0,26,0,40,1,31,35,216,0,0,0,0,27,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,10,191,1,1170
Construction Equipment Vehicle,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Fork Lift,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Goods Carrier,0,1,0,0,1,0,0,0,19,10,0,0,1,2,0,32,0,0,0,1,0,0,0,0,0,0,1,0,12,883,1,0,23,0,987
Luxury Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19
M-Cycle/Scooter,0,7297,2,377,2766,2065,124,11,7548,835,5221,303,3536,1596,33,25623,5844,6,4,23153,0,20,5104,1,2,4590,2411,368,12565,18989,3,1209,5788,915,138309
M-Cycle/Scooter-With Side Car,0,2,0,0,9,0,0,0,5,0,1,0,0,0,0,21,3,0,0,1,0,0,0,0,0,0,0,0,1,21,0,0,2,0,66
Moped,0,0,0,0,14,567,1,9,1,13,2641,0,14,0,1098,1044,0,0,0,517,0,0,0,0,0,270,2,14,943,2117,0,1,31,0,9297
Motor Cab,1,3,0,0,1,2,0,0,425,0,30,0,10,12,0,100,7,0,0,56,0,0,10,0,0,3,4,0,13,14,0,5,6,0,702
Motor Car,21,390,0,7,60,68,108,3,1531,188,814,12,50,35,5,1378,1657,0,0,3689,3,0,184,0,0,56,32,9,548,931,5,117,73,316,12290
Motor Cycle/Scooter-SideCar(T),0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Motor Cycle/Scooter-Used For Hire,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,1780,33,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,2419
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Motorised Cycle (CC 25cc),0,0,0,0,0,0,73,0,1,0,20,1,237,76,0,1143,1,0,0,6,0,0,0,0,0,81,860,11,440,2807,0,0,463,0,6220
Omni Bus,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Three Wheeler (Goods),0,127,0,9,35,44,8,0,1292,2,316,0,101,34,0,1169,38,0,0,338,2,0,0,0,0,23,10,0,71,867,9,0,53,131,4679
Three Wheeler (Passenger),0,283,0,32,159,244,14,0,0,0,188,1,390,83,0,602,725,0,0,27,0,0,0,0,0,16,27,0,19,1,355,47,365,37,3615
Three Wheeler (Personal),0,1,0,0,0,4,0,0,0,0,3,1,0,0,0,10,25,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,50
Trailer (Agricultural),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
e-Rickshaw with Cart (G),29,101,0,88,279,267,160,0,3211,11,170,1,698,33,2,212,100,0,0,548,0,0,692,0,0,313,143,3,1457,3395,0,236,2394,86,14629
e-Rickshaw(P),1,868,0,15119,19734,955,203,0,11742,1,76,8,3616,1869,9,147,297,0,0,1024,0,94,4452,0,0,271,1155,0,7384,2,2059,3697,57294,4904,136981
Total,92,9678,2,15632,23084,4216,731,29,25806,1095,9762,327,8658,3740,1147,33298,8732,6,4,29916,5,114,10442,1,2,5626,4648,405,23460,30033,2432,5322,66684,6408,331537
