Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,1,0,0,0,0,1,0,5,0,10,0,0,0,0,11,1,0,0,4,0,0,0,0,0,0,0,0,9,0,2,0,0,1,0,45
Agricultural Tractor,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Articulated Vehicle,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,7,0,1,1,0,0,0,22
Auxiliary Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bus,2,0,0,28,0,0,0,0,189,2,30,0,26,0,0,309,1,0,0,279,0,0,0,0,0,75,0,0,12,0,0,0,10,26,0,989
Construction Equipment Vehicle (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,100
Excavator (NT),0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Fork Lift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Goods Carrier,0,42,0,18,26,25,6,2,149,6,57,6,61,25,6,167,104,0,0,388,2,0,70,0,1,140,41,4,117,0,341,5,3,88,67,1967
Luxury Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,213
M-Cycle/Scooter,6,11547,11,850,5693,8614,399,37,7029,2321,12591,310,3643,2839,199,43398,21978,0,5,65115,55,31,24468,262,3,15439,7781,1110,20346,1,35168,123,1575,30347,7154,330448
M-Cycle/Scooter-With Side Car,0,3,0,0,125,0,0,0,1,1,1,0,2,0,0,5,12,0,0,0,0,0,0,0,0,2,0,0,18,0,5,0,1,5,1,182
Maxi Cab,2,7,0,0,0,2,0,2,0,9,4,0,21,0,1,121,30,0,0,0,0,0,9,0,0,0,4,1,16,0,6,0,1,1,5,242
Moped,0,6,0,0,662,11,0,17,0,6,1383,5,0,6,350,1547,0,0,0,2117,0,0,10,0,0,351,0,1,120,0,543,0,0,8,2,7145
Motor Cab,0,12,0,5,1,14,18,2,237,9,26,48,629,24,11,756,26,0,0,507,0,0,27,0,0,23,33,29,32,0,225,0,5,69,283,3051
Motor Car,11,1380,49,209,447,1036,782,108,5889,540,4079,311,3781,334,199,7204,6971,1,0,10744,40,37,1672,12,22,1288,1951,162,3149,9,5176,14,413,7723,1544,67287
Motor Cycle/Scooter-SideCar(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Motor Cycle/Scooter-Used For Hire,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,23,0,0,0,0,0,0,0,0,7,0,0,25,0,0,0,0,0,2,1233
Motorised Cycle (CC 25cc),0,303,0,0,311,0,0,0,0,4,1,2,1,168,0,292,0,0,0,1,0,0,0,0,0,220,11,1,58,0,1860,0,0,44,3,3280
Omni Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
Omni Bus (Private Use),0,13,0,0,0,71,0,0,0,0,5,0,1,13,0,79,0,0,0,0,0,0,54,0,0,28,0,0,1,0,3,0,1,7,53,329
Private Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,10
Private Service Vehicle (Individual Use),0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,28,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
Three Wheeler (Goods),0,369,0,94,306,186,21,4,1481,8,368,4,275,97,33,1618,161,0,0,689,0,0,140,0,0,359,60,8,312,0,1290,23,39,572,227,8744
Three Wheeler (Passenger),0,765,0,5328,4177,945,60,1,0,1,345,70,410,871,1827,1817,1093,0,1,2146,58,124,1628,0,0,316,311,106,752,0,548,2506,661,14966,1375,43208
Three Wheeler (Personal),0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,11,0,0,0,0,0,13,0,0,0,0,1,1,0,72,0,0,4,0,107
Tractor (Commercial),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
e-Rickshaw with Cart (G),0,34,0,832,593,763,207,0,2575,1,693,11,907,80,16,90,20,0,0,789,0,0,566,0,0,256,508,10,1753,0,1749,0,240,9666,153,22512
e-Rickshaw(P),0,4,0,10551,17118,1504,349,2,15307,0,9,17,2865,3064,376,5,0,0,0,1065,3,12,5878,0,0,730,3396,1,2848,0,1,285,1595,48632,7253,122870
Total,31,14490,60,17927,29460,13171,1843,175,32862,2911,19613,784,12622,7521,3019,58623,30519,1,6,83852,158,204,34535,274,26,19240,14097,1434,29581,10,47008,2957,4545,112251,18335,614145
