Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,90,0,2,13,30,35,1,90,21,1017,7,74,4,365,5061,322,0,0,1225,0,0,73,2,0,7,14,7,242,0,2858,0,34,536,12,12142
Agricultural Tractor,7,20834,5,1386,11826,26021,7,40,5,38,61368,1966,40800,0,3055,48195,892,15,0,91076,12,10,93889,3,9,12880,27855,86,90798,0,27959,0,3374,122840,9403,696654
Ambulance,15,516,77,378,473,362,29,22,77,41,1195,91,873,134,79,979,752,31,1,3047,53,31,596,43,46,395,190,18,1118,31,897,42,361,693,556,14242
Animal Ambulance,0,0,0,0,0,0,0,0,4,0,20,0,3,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,20,0,0,0,2,2,0,57
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,79,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,91
Articulated Vehicle,0,261,0,27,16,272,0,91,0,0,10,0,191,43,0,350,92,0,0,1013,0,0,338,0,7,88,22,0,5018,0,950,1,12,796,173,9771
Auxiliary Trailer,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,9
Breakdown Van,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,5,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,18
Bus,42,301,153,365,1015,103,64,63,305,96,1995,105,644,256,338,439,58,11,0,1420,24,17,343,7,93,329,290,4,489,28,20,3,113,1068,400,11001
Camper Van / Trailer,0,2,2,26,0,4,0,1,0,0,0,2,57,20,0,0,6,4,0,56,0,0,4,0,0,4,11,0,6,0,0,22,0,103,32,362
Camper Van / Trailer (Private Use),0,8,6,8,0,0,0,3,0,0,8,0,137,0,0,5,2,117,0,6,9,0,0,0,0,4,2,0,2,0,4,0,13,0,2,336
Cash Van,0,26,0,46,0,45,0,0,71,5,53,0,53,5,2,44,10,0,0,159,0,0,35,0,0,66,16,0,15,0,33,0,4,164,138,990
