Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,2,626,0,3,33,68,111,1,152,52,1274,6,177,16,2857,4715,737,0,0,1318,0,0,499,1,0,10,13,89,10551,1,4084,0,42,540,17,27995
Agricultural Tractor,4,23918,3,27,21440,28597,7,16,7,31,87022,1977,43273,0,3042,52673,893,41,0,80937,7,17,116644,4,19,15195,26655,114,115371,0,30635,0,3263,126712,13942,792486
Ambulance,13,406,84,403,132,692,22,13,91,30,880,101,483,78,101,679,693,19,1,1040,68,74,209,23,12,731,270,29,1442,23,879,40,140,1417,651,11969
Animal Ambulance,0,1,2,0,0,155,0,0,0,1,137,0,6,0,24,1,0,2,0,8,0,0,407,0,0,2,2,3,39,0,0,0,0,2,1,793
Armoured/Specialised Vehicle,0,0,0,0,0,4,6,0,19,0,1,1,36,0,24,1,3,0,0,11,0,0,0,0,1,6,0,0,0,0,0,0,0,4,8,125
Articulated Vehicle,0,610,2,52,89,2388,0,190,0,0,7,0,681,34,3,740,258,0,0,2301,0,0,777,0,11,1516,37,0,13110,0,2104,0,53,3114,1656,29733
Auxiliary Trailer,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,51,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,58
Breakdown Van,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,5,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,14,31
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bus,21,1258,514,1227,1961,529,168,1142,1929,354,3979,598,4792,931,643,4595,2693,76,0,9105,99,23,992,22,592,940,1425,56,1255,20,185,40,1031,6921,1419,51535
Camper Van / Trailer,0,1,1,76,0,5,0,7,0,0,3,0,61,31,11,5,8,8,0,59,0,0,47,0,0,0,7,0,8,0,4,38,0,393,48,821
Camper Van / Trailer (Private Use),0,6,3,16,0,0,0,24,0,1,20,3,272,0,0,14,7,351,0,14,4,1,16,0,0,0,5,2,3,0,19,0,3,4,78,866
Cash Van,0,42,0,89,0,18,10,0,0,3,54,0,32,19,14,225,11,0,1,209,0,0,144,0,0,46,41,0,136,0,36,0,10,200,222,1562
Construction Equipment Vehicle,11,2207,199,1277,1478,617,0,39,0,98,6530,230,965,17,498,4379,970,5,0,4246,193,85,2895,62,404,3257,514,6,3533,6,4218,49,645,447,687,40767
Construction Equipment Vehicle (Commercial),0,27,393,1,0,0,10,0,1,2,8,0,0,1005,92,4,1,123,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5595,0,7270
Crane Mounted Vehicle,3,42,2,159,0,297,0,2,0,13,674,34,1096,11,27,455,40,1,0,2590,4,3,218,0,1,497,143,2,926,0,181,12,2,196,313,7944
Dumper,0,2,373,2040,9,54,0,94,0,2,1259,31,0,0,77,0,0,8,0,1024,0,23,1588,72,79,90,9,0,5766,0,0,0,10,156,542,13308
Earth Moving Equipment,2,0,3,0,10,34,0,1,0,5,416,28,851,22,25,924,243,3,0,173,35,35,199,21,0,59,193,4,3251,26,1579,176,8,167,462,8955
Educational Institution Bus,0,1975,5,0,0,527,70,1,11,5,110,273,2349,0,683,1712,2122,19,0,0,25,0,1931,2,6,472,1,70,1780,6,3610,0,233,2940,69,21007
Excavator (Commercial),0,79,2,2,0,0,0,4,0,0,0,0,0,10,15,12,0,1,0,0,0,0,51,0,0,6,0,0,0,0,0,13,3,7,3,208
Excavator (NT),0,8,3,192,0,1385,0,0,0,13,80,166,1,3,0,35,2,0,0,2610,189,0,317,1,0,34,1,0,14,0,9,2,1,3,267,5336
Fire Fighting Vehicle,0,3,24,20,1,4,0,2,28,0,43,2,78,0,0,5,35,0,0,67,0,0,24,0,0,59,3,0,62,0,7,1,1,11,5,485
Fire Tenders,0,12,12,8,0,29,0,0,0,1,42,2,11,0,0,4,41,0,0,34,1,14,10,0,0,13,12,0,5,0,65,0,2,9,0,327
Fork Lift,0,42,0,5,0,2,0,42,0,3,677,5,102,8,5,28,8,0,0,341,0,0,5,0,0,45,2,0,82,0,7,0,15,16,27,1467
Goods Carrier,363,28086,1432,24478,19386,25903,871,4541,19821,2639,63261,9694,48496,16334,9427,66275,23337,822,4,115202,3660,877,27978,1889,10102,29519,19043,424,52313,398,68069,1935,6612,77413,27168,807772
Harvester,0,164,0,1,443,788,0,0,0,0,244,2,947,0,0,211,4,0,0,782,0,0,1820,0,0,17,3503,0,362,0,536,0,3,1714,16,11557
Hearses,0,1,0,2,0,3,1,0,0,2,12,3,4,0,0,3,15,0,0,11,1,0,4,1,0,7,0,0,4,0,0,0,2,20,17,113
Library Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
Luxury Cab,10,86,0,0,0,2,0,0,0,0,1,0,15,0,6,0,0,0,0,0,0,0,490,81,0,1,0,0,0,188,1,0,0,0,2892,3773
M-Cycle/Scooter,4798,607706,13932,446993,1013884,415952,21748,8951,402332,48957,1114867,64674,432303,356558,46519,1184967,490855,264,377,1761800,21167,19530,1112531,20650,6342,563732,420928,43132,1031574,2289,1314151,38813,170541,2452471,828184,16484472
M-Cycle/Scooter-With Side Car,1,91,5,54,3487,8,0,4,40,3,183,20,157,61,8,979,82,0,0,33,5,1,0,6,1,26,5853,1,543,0,151,12,46,463,969,13293
Maxi Cab,88,938,59,1317,529,490,18,51,13,204,794,409,676,602,1488,3527,259,494,2,1,171,23,665,0,25,921,709,43,1586,37,1321,30,366,1465,433,19754
