Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,341,0,0,150,63,12,1,83,17,1281,12,24,1,37,3518,1434,0,1,154,0,0,139,1,0,11,50,44,274,0,632,7,39,432,29,8787
Agricultural Tractor,1,17459,65,160,736,16983,8,31,38,79,43718,196,21271,33,1798,34650,394,9,2,36284,4,57,53296,4,26,1152,19734,30,61564,0,15634,0,2653,78937,453,407459
Ambulance,1,614,18,180,15,215,25,15,146,9,741,48,355,110,114,634,535,3,0,861,27,3,470,12,5,183,212,33,709,10,793,34,108,1501,1245,9984
Animal Ambulance,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,4,0,0,3,4,31
Articulated Vehicle,0,885,2,16,10,361,0,28,0,0,19,0,2,5,5,1417,198,0,2,3497,0,1,111,0,62,15,13,0,8951,0,5387,0,13,208,216,21424
Auxiliary Trailer,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Breakdown Van,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
Bus,20,2131,1135,1224,1761,547,266,113,1362,250,4680,636,3059,832,260,5097,4464,48,1,9382,244,112,2344,38,323,812,3682,217,4362,38,2262,209,1070,8191,2191,63363
Camper Van / Trailer,0,5,1,9,3,0,0,0,0,0,4,0,1,9,0,1,3,0,0,20,0,0,4,0,0,0,1,0,16,0,2,1,12,69,17,178
Camper Van / Trailer (Private Use),0,2,1,2,0,0,0,7,0,0,8,0,81,0,0,3,4,2,0,13,2,0,1,0,0,0,1,1,2,0,265,0,7,1,2,405
Cash Van,0,13,0,12,3,0,0,0,20,0,30,0,1,0,0,16,11,0,0,111,0,0,15,0,0,2,3,0,2,0,3,0,1,37,63,343
Construction Equipment Vehicle,0,2022,4,39,14,144,6,1,0,77,1870,20,66,2,1,266,129,0,0,254,16,18,209,10,935,283,14,6,82,4,140,6,33,58,5,6734
Construction Equipment Vehicle (Commercial),0,1,84,0,0,1,0,1,0,0,0,0,2,152,1,10,0,0,0,3,0,0,1,0,43,0,0,0,0,0,0,0,0,12,2,313
Crane Mounted Vehicle,2,11,18,86,0,138,0,11,0,17,766,36,290,2,0,288,160,0,0,572,0,3,237,4,71,105,145,6,173,0,55,3,6,323,220,3748
Dumper,0,3,189,1757,1,1,0,0,0,0,4,2,0,2,1,6,0,0,1,70,0,16,4,1,6,9,0,0,2071,0,2,0,76,54,85,4361
Earth Moving Equipment,6,0,0,1,0,46,0,7,0,6,134,222,165,0,1,2353,761,0,0,120,17,76,8,1,0,8,104,5,2756,10,2698,13,2,1563,113,11196
Educational Institution Bus,0,2333,1,1,0,720,33,0,2,1,28,304,990,0,118,986,1962,2,0,9,1,0,2666,1,0,330,25,54,519,2,3589,0,103,1695,15,16490
Excavator (Commercial),1,175,71,188,0,2,0,16,0,4,1135,0,165,97,24,1070,3,0,0,1,1,1,2,0,0,67,34,0,0,6,0,90,323,108,1278,4862
Excavator (NT),0,1,36,184,0,354,0,6,0,1,410,72,282,0,1,207,96,0,0,2116,24,3,1195,109,0,6,19,1,771,3,3,3,18,7,34,5962
Fire Fighting Vehicle,0,1,0,8,3,6,0,0,9,0,23,16,9,3,0,15,2,0,0,52,0,0,37,0,5,0,5,2,17,0,6,0,2,82,80,383
Fire Tenders,0,17,0,2,0,0,0,0,1,0,2,2,1,3,0,0,23,0,0,8,0,0,1,0,0,1,0,1,0,0,0,0,3,0,1,66
Fork Lift,1,17,0,1,0,0,0,37,0,1,395,2,15,0,0,14,11,0,0,124,0,2,0,0,7,0,2,0,21,0,3,0,1,10,8,672
