Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,14,1,1,18,19,10,0,23,6,479,5,6,0,0,365,56,0,0,106,0,1,38,1,0,8,27,4,92,0,77,0,9,166,11,1543
Agricultural Tractor,4,11081,36,348,1312,7437,13,29,0,20,14830,94,26541,136,1274,26505,547,22,0,17741,2,61,42057,12,60,259,19065,86,41152,0,15518,2,3155,72064,81,301544
Ambulance,0,232,12,234,29,156,12,8,115,2,310,85,250,10,34,614,337,9,2,580,48,10,313,6,26,180,73,12,335,6,416,2,146,707,763,6074
Animal Ambulance,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,2,1,21
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Articulated Vehicle,0,676,0,14,6,34,0,210,0,0,4,0,11,4,0,585,170,0,1,2195,0,0,56,0,3,6,17,0,4887,0,4541,0,17,207,316,13960
Auxiliary Trailer,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Breakdown Van,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,16,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,33
Bus,41,1216,88,476,1613,578,286,44,3316,244,2134,666,2062,841,819,5295,4207,30,1,7663,96,34,3045,51,184,808,2648,94,4237,40,3919,93,877,5473,3591,56810
Camper Van / Trailer,0,2,1,20,4,1,0,0,0,0,5,0,0,0,1,3,2,0,0,17,0,1,0,0,0,3,11,0,18,0,2,0,1,28,11,131
Camper Van / Trailer (Private Use),0,6,0,8,141,0,0,1,0,0,8,0,10,1,0,6,1,0,0,4,32,0,0,2,0,1,2,1,0,0,409,0,2,0,1,636
Cash Van,0,0,0,1,2,2,0,0,0,0,13,0,0,0,0,18,8,0,0,11,0,0,1,0,0,1,2,0,5,1,0,1,0,35,71,172
Construction Equipment Vehicle,0,1140,0,34,6,11,9,1,0,54,1831,60,17,0,0,193,20,0,0,163,11,4,255,20,720,217,33,6,82,1,129,0,15,8,10,5050
Construction Equipment Vehicle (Commercial),0,0,26,0,0,0,1,0,0,0,11,0,2,69,0,1,0,0,0,0,0,1,0,0,24,1,1,0,1,0,0,0,0,2,2,142
Crane Mounted Vehicle,2,146,1,74,1,364,0,13,36,36,1008,44,618,9,0,529,123,0,0,746,67,2,252,6,96,38,283,9,275,3,212,34,35,138,496,5696
Dumper,0,10,87,828,0,1,0,0,0,0,10,31,2,0,0,9,5,2,0,151,4,4,22,1,0,18,0,0,843,0,14,0,19,4,63,2128
Earth Moving Equipment,2,0,0,0,0,99,0,2,0,69,123,217,791,0,3,1170,288,0,0,147,9,70,2,1,0,2,108,0,1493,4,3140,6,61,757,285,8849
Educational Institution Bus,0,2055,1,0,0,188,7,0,0,48,31,218,289,0,115,635,1439,0,0,11,0,0,1222,1,0,297,46,60,810,0,3902,0,18,467,10,11870
Excavator (Commercial),0,7,77,194,0,0,0,24,0,4,642,0,36,54,2,717,4,0,0,4,2,2,1,3,3,53,53,0,0,4,1,56,10,70,719,2742
Excavator (NT),0,1,14,216,0,367,0,4,0,2,541,87,138,0,0,96,620,0,0,2228,15,1,710,75,0,1,7,5,136,0,29,4,41,10,41,5389
Fire Fighting Vehicle,3,5,0,1,2,7,0,0,0,0,66,6,22,1,0,21,13,0,0,39,0,0,16,6,0,1,1,0,19,0,6,0,5,60,36,336
Fire Tenders,0,21,0,7,0,0,0,0,0,1,9,0,1,0,0,0,6,0,0,8,0,0,12,0,0,3,0,0,0,0,0,0,0,2,0,70
Fork Lift,0,131,3,0,0,0,0,33,0,1,264,0,4,0,0,43,5,0,0,142,0,1,0,0,0,27,0,0,18,0,6,0,3,1,14,696
Goods Carrier,266,25484,396,8306,11761,11307,609,1019,8728,3097,39817,11704,31358,11165,5391,45829,27310,251,22,62719,2892,496,23061,924,10680,21749,25042,998,30085,418,58148,1825,5819,38619,34623,561918
Harvester,0,146,0,0,2,67,0,0,0,0,1,0,448,0,0,59,0,0,0,38,0,0,57,0,0,1,1939,0,16,0,462,0,0,20,6,3262
Hearses,0,0,0,0,0,0,0,0,0,0,8,0,106,0,0,6,4,0,0,2,0,0,0,0,0,0,20,0,3,0,1,0,0,10,22,182
Library Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Luxury Cab,0,655,0,0,0,0,0,0,285,0,0,0,0,0,3,1,2,0,0,6,0,0,0,3,0,4,0,0,3,12,0,0,0,0,1022,1996
M-Cycle/Scooter,4811,467582,5030,107494,168319,236363,25180,7279,285307,31991,666382,42086,340111,184150,35758,750416,364665,26,634,1162671,6893,8915,590751,8292,2900,275524,305311,49264,560155,555,950509,18655,103914,1184896,401682,9354471
M-Cycle/Scooter-With Side Car,0,3,0,9,14,4,0,0,197,4,66,11,58,6,6,8911,0,0,0,72,0,0,0,0,0,4,1747,1,503,0,88,3,9,37,229,11982
Maxi Cab,6,2273,24,276,135,139,49,6,510,89,2527,576,84,1049,3094,3475,105,154,2,622,602,57,1760,210,81,2681,1884,12,1335,262,9170,39,2015,1175,1478,37956
Mobile Canteen,0,3,0,0,0,0,0,0,0,1,10,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,24
Mobile Clinic,0,4,0,0,0,0,0,0,0,0,5,1,3,3,0,4,3,0,0,3,0,0,0,0,0,0,1,2,2,0,14,0,2,7,7,61
