Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,8,0,0,34,47,9,0,45,35,1016,11,13,4,3,1472,793,0,0,545,0,0,119,0,0,13,32,30,224,0,1121,1,29,357,25,5986
Agricultural Tractor,0,14161,54,162,1726,22685,7,30,62,54,54392,197,32981,138,2245,33905,314,13,3,42578,0,77,77094,3,46,638,33046,29,80250,5,9356,1,2679,100460,1065,510456
Ambulance,16,390,8,349,24,88,21,12,65,7,670,188,389,27,104,816,475,7,8,1638,47,27,309,6,11,420,125,21,821,4,699,21,110,1987,1226,11136
Animal Ambulance,0,0,0,0,0,0,1,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,1,2,0,22
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Articulated Vehicle,0,352,0,28,25,16,0,42,0,0,12,0,0,3,0,376,111,0,0,1903,0,0,159,0,43,12,3,0,3231,0,4028,0,1,132,76,10553
Auxiliary Trailer,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
Breakdown Van,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,30
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7
Bus,28,888,250,922,1764,471,152,55,981,204,2223,832,2301,497,582,5290,2774,26,0,8043,66,82,2330,21,200,597,3294,76,3261,18,1502,120,614,4930,2808,48202
Camper Van / Trailer,0,3,6,10,0,0,0,0,0,0,1,0,0,2,0,1,6,0,0,28,0,0,1,0,0,2,2,0,16,0,7,1,0,56,14,156
Camper Van / Trailer (Private Use),0,2,0,6,0,0,0,4,0,0,6,0,11,0,0,1,9,0,0,17,1,0,0,0,0,2,3,0,1,0,234,0,1,0,4,302
Cash Van,0,51,0,41,0,0,0,0,0,0,57,0,1,2,0,14,8,0,0,39,0,0,1,0,0,14,1,0,9,2,1,0,8,88,67,404
Construction Equipment Vehicle,0,1074,12,19,24,62,32,0,0,56,1939,7,31,1,1,207,58,0,0,207,7,1,283,12,587,516,22,3,83,2,111,2,13,11,12,5395
Construction Equipment Vehicle (Commercial),0,0,40,2,0,0,1,0,0,0,2,0,3,71,1,2,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,21,8,183
Crane Mounted Vehicle,1,17,16,57,0,206,2,5,19,15,894,22,512,1,1,230,148,0,0,345,3,3,158,3,65,54,102,3,193,1,54,10,10,159,183,3492
Dumper,0,3,114,958,0,2,1,0,0,0,8,3,2,0,0,1,0,0,0,71,0,3,5,1,1,6,0,0,1598,0,2,0,20,60,68,2927
Earth Moving Equipment,6,0,0,1,0,127,0,0,0,7,159,163,497,2,0,987,281,0,0,132,5,59,9,6,0,7,74,1,2003,2,1332,17,7,1484,171,7539
Educational Institution Bus,0,1817,0,0,0,396,105,0,0,1,25,320,407,0,95,821,1671,0,0,16,3,0,2160,0,0,196,22,50,579,1,3194,0,14,1391,11,13295
Excavator (Commercial),1,53,55,151,0,1,0,18,0,1,424,4,36,72,1,834,0,0,0,2,0,1,0,2,0,92,21,0,0,13,0,133,172,112,565,2764
Excavator (NT),0,0,27,136,0,659,0,9,0,1,394,87,399,0,0,176,81,0,0,2106,9,9,1362,114,0,1,11,1,723,0,2,5,37,7,29,6385
Fire Fighting Vehicle,3,3,0,4,0,10,0,0,0,0,30,4,10,1,0,15,0,0,10,30,0,11,19,0,5,0,6,0,55,0,25,0,10,56,7,314
Fire Tenders,0,19,0,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,9,0,0,20,0,0,4,0,0,0,0,3,0,0,3,0,67
Fork Lift,0,16,1,0,0,1,0,29,0,1,299,0,13,0,0,16,4,0,0,112,0,1,0,0,6,3,1,0,18,0,1,0,2,3,2,529
Goods Carrier,188,17081,696,11194,18880,15262,941,752,9794,1525,43470,7266,23225,10891,5497,45107,17695,421,11,69214,2063,1164,24442,1078,8080,16646,22309,352,40811,285,36758,1185,5074,48854,26933,535144
Harvester,0,108,0,0,20,254,0,0,0,0,26,0,479,0,0,15,0,0,0,86,0,0,58,0,0,28,2894,0,104,0,71,0,0,34,27,4204
Hearses,0,2,0,0,0,0,0,0,0,0,8,1,4,0,0,10,16,0,1,9,0,0,3,0,0,1,3,0,3,0,1,0,0,11,28,101
Library Van,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
