Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Tractor (Commercial),1,6006,18,2196,32972,759,5,0,247,1,1157,1060,168,7378,36,884,0,2,5,138,43,0,5,6,2,9243,12,6,56,0,504,4,428,449,12103,75894
Tractor-Trolley(Commercial),0,0,0,2,0,4,0,1,0,0,1,0,0,551,0,0,0,0,0,2,0,0,1000,0,0,48,2,0,9,0,0,0,0,2,0,1622
Trailer (Agricultural),0,6209,0,33,461,7729,0,18,0,1,7159,2,3,1,0,16171,0,0,0,2726,0,0,5525,1,0,7,12,2,73,0,1635,0,7,123,0,47898
Trailer (Commercial),0,5439,16,353,9251,390,0,11,0,8,958,0,9,4797,0,684,1,0,0,343,28,0,180,0,6,8428,0,7,2,0,520,0,1321,205,969,33926
Trailer For Personal Use,0,5,3,0,0,3,0,0,0,2,0,0,3,0,10,39,0,3,0,486,2,2,0,0,0,1,56,0,14,0,22,0,0,3,0,654
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6
Vehicle Fitted With Compressor,1,45,0,6,0,6,0,0,0,0,51,4,1,82,0,18,10,0,0,33,0,0,2,0,0,13,1,0,70,0,306,0,1,8,1,659
Vehicle Fitted With Generator,0,1,0,2,0,0,0,0,0,0,4,0,1,0,0,25,50,0,0,139,0,0,3,0,0,1,1,0,1,0,29,0,0,2,39,298
Vehicle Fitted With Rig,0,122,0,6,0,67,0,0,0,0,149,7,2,1,0,1177,2,0,0,86,0,0,36,0,0,43,0,0,198,0,306,0,0,8,11,2221
X-Ray Van,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
e-Rickshaw(P),0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,42
Total,8108,702497,14303,236810,604281,453738,45910,15677,486691,69699,1340061,97564,640572,324878,110857,1388531,941144,1851,887,2029793,25257,29147,995290,16158,23030,474624,770122,53050,1212101,5484,1676825,29558,181840,2063364,691890,17761592
