Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,107,1,2,23,57,61,0,138,17,1159,2,111,2,1221,4717,845,0,0,1346,0,0,54,0,0,9,19,5,2100,0,3945,0,47,511,13,16512
Agricultural Tractor,1,20419,6,61,20665,24992,28,19,1,23,53650,1604,40781,2,3684,57496,1296,43,0,99117,7,22,107855,3,12,11123,23367,72,101099,0,28679,11,3112,119846,10673,729769
Ambulance,2,230,17,390,1237,2417,23,9,72,33,772,189,325,97,174,822,317,29,0,929,74,51,313,43,49,168,225,30,850,27,801,78,132,1390,446,12761
Animal Ambulance,0,0,3,1,0,0,0,0,0,0,13,0,6,0,6,13,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,1,342,4,417
Armoured/Specialised Vehicle,0,0,0,0,0,20,0,0,15,0,20,0,21,0,72,0,0,0,0,0,0,0,9,0,19,1,0,0,2,0,0,0,0,6,2,187
Articulated Vehicle,0,404,2,44,15,1474,0,242,0,0,10,0,435,12,0,640,59,0,1,2394,0,0,508,0,18,329,65,0,9860,0,1649,0,25,2437,380,21003
Auxiliary Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,12
Breakdown Van,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,15
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bus,1,889,317,736,1119,209,176,182,1151,126,3096,466,2257,592,379,3085,688,73,0,4321,95,33,679,12,288,483,1477,7,665,34,76,46,386,3112,783,28039
Camper Van / Trailer,0,1,1,51,0,3,2,3,0,0,7,1,74,38,1,1,11,36,0,65,2,0,10,0,0,1,13,0,6,0,3,9,8,175,43,565
Camper Van / Trailer (Private Use),0,4,1,8,1,0,0,12,0,0,17,1,289,0,0,8,6,356,0,8,8,0,2,0,0,3,1,1,4,0,14,1,28,5,8,786
Cash Van,0,86,0,92,1,73,0,0,20,2,110,0,227,20,11,199,12,0,0,249,0,0,137,0,0,18,38,0,50,0,130,0,18,396,168,2057
Construction Equipment Vehicle,2,1533,25,588,1379,525,0,16,0,54,5061,243,547,36,323,3266,491,11,0,2718,172,95,38,98,310,2287,351,2,2724,40,2961,27,479,405,389,27196
Construction Equipment Vehicle (Commercial),0,26,297,0,0,0,19,0,0,0,9,0,0,650,88,2,4,62,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4259,7,5427
Crane Mounted Vehicle,3,6,7,139,1,195,0,3,0,10,1026,27,810,10,4,282,62,1,0,1461,4,8,287,7,0,385,111,0,767,0,128,2,3,191,253,6193
Dumper,1,14,392,2053,10,69,11,1,0,0,1169,35,0,0,68,3,1,0,0,1656,0,43,23,82,84,44,0,0,4164,0,0,0,2,73,920,10918
Earth Moving Equipment,1,0,7,0,10,13,0,1,0,3,311,29,975,21,33,792,890,5,0,87,18,8,1,8,0,140,234,3,2671,28,1493,20,7,228,294,8331
Educational Institution Bus,0,1122,4,0,0,358,3,4,6,2,101,127,1489,0,220,1320,1600,5,0,1,21,2,1107,2,2,442,0,35,990,6,2578,0,170,1895,56,13668
Excavator (Commercial),0,249,21,21,1,0,0,17,0,5,1,0,0,44,59,63,0,1,0,0,0,0,3,0,0,22,0,0,0,0,0,157,70,12,6,752
Excavator (NT),0,1,1,471,0,1005,0,0,0,9,312,185,11,8,0,24,3,1,0,2050,106,11,1632,7,0,34,3,0,19,0,2,5,1,3,145,6049
Fire Fighting Vehicle,0,3,0,11,0,10,0,0,1,0,97,9,76,5,0,6,44,2,0,92,0,1,8,0,0,4,16,0,146,0,2,1,1,12,5,552
Fire Tenders,0,6,0,13,0,1,0,1,1,0,24,6,22,2,0,3,24,0,0,21,0,0,16,0,0,6,4,0,1,1,7,0,2,8,2,171
Fork Lift,0,56,0,3,0,6,0,56,0,4,672,2,112,2,0,30,7,0,0,291,0,0,2,0,0,79,9,0,83,0,13,0,7,16,21,1471
Goods Carrier,397,28215,1570,25504,17933,21628,935,3892,25695,2259,54643,9564,47388,12848,10939,62744,24329,700,12,113100,4231,1885,26450,2094,10252,23773,17221,442,48241,735,66243,2357,6010,70149,32989,777367
