Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,18,0,0,32,46,11,3,79,10,1160,11,15,1,4,3058,1642,0,0,168,0,1,129,1,0,22,42,102,183,0,912,0,24,400,31,8105
Agricultural Tractor,7,11847,52,152,823,17834,9,47,90,55,28998,177,25526,44,2165,30954,381,17,3,35539,0,90,50055,5,35,922,26141,34,66693,1,9225,17,2558,81363,863,392722
Ambulance,2,426,7,175,32,185,42,9,57,8,828,75,204,47,135,789,539,3,1,798,24,18,483,6,12,179,187,24,702,12,682,30,111,1687,1035,9554
Animal Ambulance,0,1,0,0,0,0,0,0,0,0,9,0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,3,0,25
Articulated Vehicle,0,377,3,13,32,40,0,26,0,0,13,0,0,5,0,869,129,0,0,3194,0,0,65,0,64,20,14,0,6677,1,5836,1,7,162,167,17715
Auxiliary Trailer,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Breakdown Van,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,15,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,27
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,12
Bus,27,991,662,1536,1545,777,238,71,915,220,3311,1035,2299,769,593,4707,4145,23,0,10236,119,81,2513,28,228,646,3933,145,3284,61,1508,259,887,6058,2867,56717
Camper Van / Trailer,0,1,3,13,1,0,0,2,0,0,1,0,1,1,0,3,4,0,0,19,0,0,2,0,0,0,0,0,8,0,1,0,4,69,16,149
Camper Van / Trailer (Private Use),0,2,0,1,1,2,0,4,0,1,8,0,103,0,1,4,5,0,0,21,1,1,2,1,0,0,0,0,0,0,220,0,11,0,2,391
Cash Van,0,20,1,15,1,0,0,0,0,0,25,0,0,0,0,16,10,0,0,68,0,0,10,0,0,7,0,0,6,0,2,0,12,84,81,358
Construction Equipment Vehicle,0,1192,5,26,14,71,6,0,2,65,1483,16,44,1,1,153,89,0,0,190,13,13,207,6,865,280,19,1,81,1,97,1,12,6,3,4963
