Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,28,0,0,6,12,7,0,14,4,220,4,2,0,0,147,48,0,0,71,0,1,39,0,0,39,19,7,17,0,243,0,13,59,11,1011
Agricultural Tractor,11,9314,18,161,324,5342,10,43,0,14,10833,70,23990,77,885,20012,473,13,0,10941,0,48,28039,3,59,306,15327,71,30152,0,13707,1,2635,54201,74,227154
Ambulance,12,276,7,224,15,100,26,10,91,1,235,40,281,6,133,654,226,4,0,529,79,11,226,12,4,250,43,31,236,8,520,6,68,344,551,5259
Animal Ambulance,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,9
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Articulated Vehicle,0,375,0,2,0,21,0,89,0,0,4,0,1,1,0,351,137,0,0,675,1,0,59,0,0,1,10,0,1998,0,1657,0,5,32,248,5667
Auxiliary Trailer,0,0,0,1,0,0,0,0,0,0,15,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
Breakdown Van,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,10,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,24
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,32
Bus,21,1544,113,293,1632,691,133,46,1275,296,1537,778,1596,667,712,5330,3629,22,1,4944,87,56,2243,29,164,673,1991,54,3741,22,1777,45,939,4452,2959,44492
Camper Van / Trailer,0,4,1,17,1,1,0,0,0,0,6,0,1,0,0,4,2,0,0,17,0,0,2,0,0,1,7,0,12,0,4,1,2,12,9,104
Camper Van / Trailer (Private Use),0,8,0,1,4,0,0,1,0,0,4,0,3,0,0,4,5,0,0,1,18,0,0,2,0,0,4,0,3,0,903,0,2,1,0,964
Cash Van,0,3,0,7,1,1,0,0,0,0,16,0,1,0,0,6,21,0,0,11,0,0,4,0,0,6,0,2,0,0,0,0,0,32,57,168
Construction Equipment Vehicle,0,704,0,28,4,4,3,0,0,19,1092,35,9,1,0,88,13,0,0,88,3,2,187,1,506,198,21,0,101,1,84,4,4,7,24,3231
Construction Equipment Vehicle (Commercial),0,1,12,0,0,0,1,0,0,1,3,0,1,30,0,1,0,0,0,0,0,0,0,0,19,1,2,0,0,0,0,0,0,8,1,81
Crane Mounted Vehicle,1,106,0,52,2,249,1,15,67,20,616,39,358,10,2,241,117,0,0,413,64,1,137,5,68,35,257,7,196,2,169,60,20,104,348,3782
Dumper,0,30,20,825,1,1,0,0,0,0,11,3,3,0,0,5,0,0,0,78,0,4,14,0,0,18,0,0,613,0,11,0,21,2,49,1709
Earth Moving Equipment,3,0,0,0,0,368,0,1,0,42,69,188,455,0,1,767,90,0,0,97,11,36,1,2,0,3,91,1,1003,7,1494,1,40,448,209,5428
Educational Institution Bus,0,1756,0,0,0,183,2,0,0,3,30,137,231,0,125,482,1257,0,1,10,2,0,976,1,0,278,27,57,872,0,3099,0,17,321,5,9872
Excavator (Commercial),0,2,74,118,3,0,0,6,0,1,402,0,11,32,1,312,0,0,0,2,3,1,0,0,0,41,27,0,0,10,0,65,10,51,464,1636
Excavator (NT),0,1,3,147,0,229,0,3,0,0,294,48,55,0,0,78,484,0,1,1309,8,6,581,64,0,2,3,5,218,0,23,1,33,8,20,3624
Fire Fighting Vehicle,1,6,0,1,0,7,0,2,0,0,59,0,15,0,0,31,0,0,0,34,0,0,3,0,0,0,1,0,4,1,7,0,6,28,88,294
Fire Tenders,0,26,0,3,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,5,0,0,13,0,0,1,0,1,1,0,0,0,0,4,0,61
Fork Lift,0,146,0,1,0,1,0,15,0,0,189,1,8,0,0,37,16,0,1,67,0,0,0,0,4,46,2,0,4,0,5,0,6,1,16,566
Goods Carrier,200,15571,282,5742,11201,8783,394,749,8186,2132,23503,5054,17449,9098,4328,28054,17004,220,26,36032,2492,517,15297,659,6394,15286,14984,742,22534,350,41848,1431,4182,31314,23282,375320
