Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,330,0,0,6,14,60,0,78,6,226,0,29,2,191,1121,11,0,0,385,0,0,8,0,0,5,4,144,842,0,8764,0,8,121,1,12356
Agricultural Tractor,1,4891,7,153,4651,12102,13,3,4,6,13606,773,12826,0,1225,15929,258,7,0,30647,2,2,32486,1,2,5484,9095,21,31565,0,9235,1,868,43094,5826,234784
Ambulance,0,108,2,98,357,77,24,7,61,12,167,18,145,27,21,227,156,0,2,311,28,1,159,6,13,435,92,16,462,8,220,13,52,2675,133,6133
Animal Ambulance,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,25
Armoured/Specialised Vehicle,0,0,0,3,0,0,6,0,0,0,2,0,1,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Articulated Vehicle,0,195,0,12,210,424,0,37,0,0,16,0,136,36,0,406,57,0,0,728,0,0,489,0,1537,719,5,0,3590,0,897,1,18,283,936,10732
Auxiliary Trailer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
Breakdown Van,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
Bus,8,682,405,480,1030,335,126,644,678,174,971,128,1091,440,323,1234,1110,18,0,3710,65,8,827,7,219,361,708,20,484,26,753,36,349,3210,955,21615
Camper Van / Trailer,0,0,1,6,0,0,0,7,0,0,2,0,5,4,1,0,1,0,0,11,0,0,40,0,0,1,0,0,1,0,2,12,0,73,11,178
Camper Van / Trailer (Private Use),0,1,1,1,0,0,0,1,0,0,4,2,109,0,1,2,1,47,0,1,0,0,4,0,1,0,0,0,2,0,10,0,3,1,1,193
Cash Van,0,0,0,22,0,11,0,0,0,0,0,0,1,0,0,11,6,0,0,44,0,0,10,0,0,0,0,0,17,0,0,0,0,43,0,165
Construction Equipment Vehicle,3,585,12,230,498,328,0,21,0,61,3047,76,640,13,165,1407,170,2,0,2405,154,4,1009,25,184,1611,244,5,1107,7,1409,31,208,96,330,16087
Construction Equipment Vehicle (Commercial),0,0,150,5,0,0,5,0,0,0,2,0,0,443,1,1,0,18,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,2111,1,2750
Crane Mounted Vehicle,0,32,0,33,0,139,0,1,0,13,219,13,348,5,1,121,8,0,0,1442,2,0,107,2,0,44,55,0,308,0,48,1,1,45,108,3096
Dumper,0,0,191,327,0,14,0,0,0,0,514,0,0,0,6,0,0,0,0,457,1,13,782,10,133,3,5,0,1237,0,0,0,0,33,101,3827
