Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,1,456,0,0,11,72,151,3,185,29,1017,10,163,17,5,5637,484,1,0,1272,0,0,146,0,0,35,13,143,1384,0,7568,0,62,455,5,19325
Agricultural Tractor,0,18123,15,193,20071,39818,16,14,3,24,89030,2009,43533,0,3675,50620,551,48,0,84517,14,11,115400,5,17,18592,30105,52,115026,0,27610,3,3175,140524,17339,820133
Ambulance,0,311,22,1000,430,340,30,26,81,74,731,120,504,92,103,954,459,15,0,1650,62,6,343,26,15,425,282,16,1385,15,744,32,201,696,614,11804
Animal Ambulance,0,0,0,0,0,8,0,0,0,0,36,0,19,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,42,0,1,0,0,2,1,124
Armoured/Specialised Vehicle,0,0,0,19,0,10,12,0,2,2,1,0,6,0,134,3,2,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,8,221
Articulated Vehicle,0,459,0,22,141,1603,0,196,0,0,5,0,551,98,0,749,292,0,0,2292,0,0,1317,0,1831,3382,40,0,11816,0,2170,0,54,1684,2561,31263
Auxiliary Trailer,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Breakdown Van,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bus,37,2306,1059,1366,2163,1002,483,2031,2483,543,5318,377,3579,1161,1018,7860,3561,78,1,9807,92,18,2148,18,638,1979,2231,125,2418,29,3268,112,1170,6187,2214,68880
Camper Van / Trailer,0,5,2,12,0,2,0,10,0,0,2,0,15,26,16,3,5,7,0,34,0,0,23,0,0,0,4,0,2,0,2,30,0,280,49,529
Camper Van / Trailer (Private Use),0,0,5,13,0,0,0,15,0,0,31,11,287,0,18,11,8,291,0,8,6,0,16,0,0,7,2,0,3,0,8,0,1,5,14,760
Cash Van,0,12,0,31,0,5,0,0,0,4,61,0,1,10,0,71,10,0,0,34,0,0,22,0,0,17,11,0,34,0,26,0,0,73,79,501
Construction Equipment Vehicle,15,2160,46,785,1618,733,6,45,0,168,7590,423,1522,27,545,4338,634,6,0,5809,373,44,3367,86,502,4501,766,20,3440,25,4124,33,839,422,1042,46054
Construction Equipment Vehicle (Commercial),0,11,416,3,0,0,8,0,1,0,10,0,1,1580,8,0,0,86,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,7265,8,9409
Crane Mounted Vehicle,0,114,1,150,0,450,0,16,0,23,575,52,1225,22,22,454,29,1,1,3366,13,5,346,7,5,294,292,3,882,0,149,11,0,157,452,9117
Dumper,1,3,531,1354,18,7,0,22,0,1,1217,0,0,0,47,1,0,54,0,1424,0,5,2329,65,244,41,9,0,4995,0,1,0,46,64,361,12840
Earth Moving Equipment,0,0,7,3,8,114,2,0,0,0,228,34,672,19,10,728,92,2,0,68,84,3,260,14,0,57,235,14,2757,34,1042,120,1,136,613,7357
Educational Institution Bus,0,2081,7,0,0,525,76,16,13,1,159,304,4219,0,748,1620,1756,15,0,0,21,1,2529,7,11,418,2,101,1902,6,3678,0,288,4170,44,24718
Excavator (Commercial),0,10,22,0,0,0,0,1,0,0,0,1,0,13,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,87
Excavator (NT),0,24,8,161,0,2151,0,0,0,0,43,225,2,1,0,11,0,1,0,3718,195,1,15,3,0,66,1,0,5,0,16,1,1,2,324,6975
Fire Fighting Vehicle,1,3,0,4,14,8,1,0,0,0,76,1,11,0,2,9,3,5,0,59,0,0,22,0,0,116,3,0,11,0,76,24,0,9,27,485
Fire Tenders,6,4,0,30,0,22,6,0,5,5,58,1,16,3,0,3,0,0,0,44,0,2,8,0,0,72,16,0,5,0,7,0,0,136,1,450
Fork Lift,1,27,1,3,0,9,0,70,0,1,742,12,170,0,4,35,15,0,0,294,0,0,2,0,0,47,5,0,67,0,10,0,4,38,31,1588
Goods Carrier,287,24647,1426,20456,23264,25366,812,3342,17522,2767,65381,11055,48137,16643,8512,62600,22660,887,3,118117,4001,401,27834,1977,9557,28827,18037,458,49610,483,59987,2332,6303,69658,27074,780423
Harvester,0,135,0,1,324,1069,0,0,0,0,226,0,1138,0,0,290,9,0,0,717,0,0,1697,0,0,9,3144,0,408,0,617,0,2,1506,6,11298
Hearses,0,0,2,1,0,6,0,0,0,6,27,1,7,0,0,2,12,0,0,31,0,0,1,0,0,21,1,0,6,0,31,0,5,32,25,217
Library Van,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Luxury Cab,14,48,1,0,0,1,0,0,2,0,0,1,8,1,41,0,0,0,0,0,0,0,15,32,0,2,0,0,0,319,0,0,0,0,524,1009
M-Cycle/Scooter,5534,674819,18084,433668,1105339,539312,21574,10330,448867,53184,1169254,76529,550814,380432,49511,1299893,508987,182,341,2030409,22832,22048,1260151,21995,6385,620422,463615,50437,1160385,2740,1423561,40855,191782,2682186,986239,18332696
