Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
M-Cycle/Scooter-With Side Car,1,123,7,62,2442,6,0,2,57,12,193,22,170,68,6,614,52,2,0,42,4,1,1,4,1,28,747,4,802,0,118,11,50,390,536,6578
Maxi Cab,39,1043,61,1495,897,771,8,46,62,381,1050,740,920,907,1955,3349,654,298,0,8,65,4,738,1,17,1180,770,43,970,90,2710,27,506,2683,538,25026
Mobile Canteen,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,45
Mobile Clinic,0,2,0,13,0,4,1,0,4,0,24,0,76,0,0,20,9,1,0,61,0,0,5,1,0,12,2,1,94,0,10,0,2,6,9,357
Mobile Workshop,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,1,0,0,12,0,0,3,0,0,1,2,0,0,0,0,0,0,28,1,55
Moped,45,11629,5,3755,16495,6310,5,1664,241,28,79790,306,1218,8644,43330,37014,19,239,3,20082,0,11,6255,0,0,16688,42,246,8487,0,49949,0,364,61424,3211,377499
Motor Cab,431,6155,153,3509,2381,1473,84,248,6887,3367,13195,5418,30793,2475,5579,35665,5680,376,0,51554,2608,9,6590,339,276,6085,10470,811,10402,1096,28210,542,8331,26935,9144,287271
Motor Car,1769,79564,13723,77992,76961,64630,19998,5836,188290,20956,342477,48039,269397,57490,49572,273676,202501,2329,13,449217,11090,4960,182206,4283,7535,72550,147333,12460,211163,3640,243357,5416,52458,437785,99976,3740642
Motor Caravan,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Motor Cycle/Scooter-SideCar(T),0,10,0,0,0,0,0,0,0,74,1,0,0,0,3,12,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,107
Motor Cycle/Scooter-Used For Hire,121,340,0,0,101,2,38,0,0,2433,152,1004,415,0,0,6624,349,508,0,0,3,0,34,723,15,574,13,0,1423,17,0,0,3087,947,368,19291
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
Motorised Cycle (CC 25cc),4,31793,0,1,1434,1,0,15,199,4,24016,20,410,70368,191,2555,4,0,0,1088,1,3,0,21,0,5896,182,102,10230,3182,35793,380,3,402,510,188808
Omni Bus,13,189,14,19,341,4,0,140,7,3,16,290,60,253,862,30,0,0,0,31,0,0,6,0,1,1095,1,121,254,0,655,6,34,305,868,5618
Omni Bus (Private Use),0,414,1,1,27,1937,5,5,5,4,37,0,8,181,6,829,7,0,0,730,1,3,774,0,0,488,11,0,47,9,132,0,3,104,1409,7178
Power Tiller,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Private Service Vehicle,1,89,2,0,0,81,0,0,0,1,1,13,3,0,29,1352,210,1,0,71,1,0,241,0,0,123,11,9,93,0,2094,0,0,1,176,4603
Private Service Vehicle (Individual Use),0,2,67,378,0,1,1,1,0,0,141,23,10,0,0,133,890,0,0,77,4,1,1,0,0,5,0,0,2,0,11,0,1,0,0,1749
Puller Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
Quadricycle (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,256
Quadricycle (Private),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39
Recovery Vehicle,0,4,0,3,0,0,0,1,2,2,5,22,22,0,0,0,7,0,0,2,2,0,0,0,2,30,2,0,49,0,28,0,1,7,12,203
Road Roller,1,50,0,1,6,5,0,0,0,0,22,3,7,0,0,0,33,1,0,12,0,0,15,0,0,2,4,0,8,0,1,0,0,2,1,174
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,64
Semi-Trailer (Commercial),0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,147,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,174
Snorked Ladders,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Three Wheeler (Goods),23,7550,4,1677,6036,1412,236,43,10370,19,17759,94,4303,3168,3259,10011,2916,0,5,13826,245,2,7852,4,50,5763,1220,49,5312,0,6635,420,498,11782,2432,124975
Three Wheeler (Passenger),118,31973,149,21871,36325,4239,178,36,4245,109,63243,505,14799,10342,6945,63488,25784,0,5,67072,613,407,17752,410,636,13657,4744,290,20593,0,44970,11806,2926,74566,10390,555186
Three Wheeler (Personal),0,5,1,0,0,1,0,8,2,7,58,0,0,0,0,125,272,0,0,26,11,0,24,0,0,3,22,11,4,0,376,0,0,16,0,972
Tow Truck,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,5,0,0,0,76,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,98
Tower Wagon,0,0,0,1,0,0,0,0,0,1,11,0,1,0,0,1,0,0,0,11,0,0,1,0,0,17,0,0,0,0,0,0,0,3,0,47
Tractor (Commercial),0,6673,745,8319,14661,1404,0,27,0,2,10931,1,1,12319,73,3152,5,5,0,73,12,3,382,1,12,1469,1,4,4,0,157,22,643,702,742,62545
Tractor-Trolley(Commercial),0,0,93,0,0,2,0,0,0,0,1,0,0,399,0,0,0,0,0,0,0,0,32,0,0,235,0,0,3774,0,0,0,0,2,0,4538
Trailer (Agricultural),0,3315,0,100,144,9158,0,0,0,1,3076,0,0,0,0,11926,0,0,0,13322,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,41328
Trailer (Commercial),0,6896,64,366,4978,333,0,43,0,1,162,0,248,0,0,1067,0,0,0,175,0,0,15,0,7,1852,0,0,35,0,2,0,130,104,96,16574
Trailer For Personal Use,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18
Tree Trimming Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
Vehicle Fitted With Compressor,0,9,0,2,0,1,0,0,0,0,24,10,1,1,0,11,3,0,0,3,0,0,0,0,0,4,0,0,23,0,52,0,0,7,1,152
Vehicle Fitted With Generator,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,37,0,0,0,9,0,0,0,0,0,2,0,1,1,0,13,0,0,3,31,103
Vehicle Fitted With Rig,0,20,0,3,0,10,0,0,0,0,1,11,0,5,0,246,0,0,0,12,0,0,3,0,0,4,0,0,75,0,38,0,1,0,2,431
e-Rickshaw with Cart (G),0,87,0,2935,1620,2131,717,0,3933,6,679,10,3301,274,127,214,112,0,0,2329,1,0,2062,0,0,793,2683,14,6361,0,3442,1,684,24047,368,58931
e-Rickshaw(P),0,43,0,47882,76815,7534,1949,3,27796,32,47,28,13706,12134,3037,19,0,0,0,4074,5,81,24462,0,0,3115,18416,43,16392,0,3,1459,8111,200146,14431,481763
Total,8463,913738,36744,629669,1395065,714085,46398,24255,711264,84308,1898987,147725,996474,579180,179397,1888269,779196,5439,372,2887858,42360,28030,1667810,30022,27770,811022,705490,65578,1653200,11685,1953453,63651,281767,3758113,1184917,26211754
