Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,8,0,0,20,21,4,0,33,7,681,1,6,1,0,378,85,0,0,192,0,0,64,0,0,8,71,60,126,0,80,1,15,198,18,2078
Agricultural Tractor,1,13961,22,347,2479,10719,11,44,0,67,23894,109,28141,198,1424,31047,615,21,0,25323,0,100,50235,14,113,284,19694,70,57018,2,20155,2,2808,82487,50,371455
Ambulance,0,282,20,172,37,271,44,6,77,4,464,101,255,10,67,509,362,9,0,821,70,2,373,7,16,147,273,18,783,20,475,16,129,656,1209,7705
Animal Ambulance,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,9,0,0,0,0,2,3,22
Articulated Vehicle,0,773,1,8,9,9,0,59,0,0,3,0,4,2,0,843,286,0,0,2437,0,0,50,0,3,7,18,0,4688,0,4745,1,16,161,336,14459
Auxiliary Trailer,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Breakdown Van,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,25,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,55
Bulldozer,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,39
Bus,40,2792,193,789,1998,537,143,62,1072,337,2703,510,2352,786,582,5731,3377,25,0,8359,150,57,3557,42,214,693,2569,53,4217,27,2844,37,951,5411,1404,54614
Camper Van / Trailer,0,2,1,10,3,0,0,0,0,0,7,0,0,2,6,5,1,0,0,9,0,0,0,0,0,0,5,0,10,0,4,1,0,51,3,120
Camper Van / Trailer (Private Use),0,5,0,1,520,0,0,1,0,0,8,0,5,0,0,5,2,0,0,4,19,0,0,0,0,2,5,0,1,0,478,0,1,1,1,1059
Cash Van,0,37,0,12,0,0,0,0,0,0,13,0,4,0,0,6,7,0,0,24,0,0,3,0,0,3,0,0,3,0,0,0,5,55,71,243
Construction Equipment Vehicle,0,1742,0,39,19,9,15,0,0,61,2535,26,50,1,1,272,52,0,0,229,13,3,228,31,792,246,33,0,89,2,141,0,17,12,11,6669
Construction Equipment Vehicle (Commercial),1,1,39,2,1,0,0,0,0,0,7,0,1,91,0,2,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,4,3,189
Crane Mounted Vehicle,4,139,7,52,0,484,2,15,12,48,1265,42,1039,7,2,602,155,0,0,1065,35,2,297,7,128,46,220,9,336,6,175,21,34,140,468,6864
Dumper,1,12,81,1234,0,1,0,0,0,0,10,2,7,0,0,13,5,0,0,417,3,1,7,2,5,24,1,0,1447,0,15,0,13,8,76,3385
Earth Moving Equipment,0,0,0,0,0,109,0,2,0,117,186,141,925,3,7,1406,598,0,1,191,12,68,4,0,0,7,125,2,2323,8,4296,11,108,1295,203,12148
