Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,2,51,2,13,0,1,0,20,21,4,486,4,4,114,6,0,0,25,3,4,286,0,4,7,267,1,25,5,38,0,2,51,10,1456
BHARAT STAGE II,1,23,14,20,20,35,1,0,0,20,49,12,45,7,8,166,18,0,0,43,33,11,84,0,26,26,440,1,90,3,33,1,7,87,26,1350
BHARAT STAGE III,0,29624,239,655,981,257,201,8,5,16,958,782,2572,618,507,6738,82,8,0,1250,362,373,75427,4,339,347,6643,12,4291,55,272,61,421,1900,537,136545
BHARAT STAGE III/IV,0,0,125,168,1242,24,2,8,1,3,201,30,365,37,8,27,9,0,0,257,35,123,2,2,31,495,622,1,99,11,66,0,4,189,19,4206
BHARAT STAGE IV,166,1085742,29801,478740,1193871,621997,43114,17512,588635,67812,1530799,124828,788409,534804,134599,1570664,595615,1586,10,2186315,29133,35318,1416741,29855,15120,790022,715295,57279,1366850,9065,1914082,53979,228755,3146439,1123445,22526397
BHARAT STAGE IV/VI,4,7015,588,11796,8632,7622,1568,377,20770,5296,28371,8444,16343,8042,6220,72,30466,391,0,28155,2403,904,16,649,808,8278,9065,625,22617,1083,17651,517,5798,26997,12889,300472
BHARAT STAGE VI,2,2621,172,1702,1791,1699,693,124,6263,862,9126,1372,4161,1943,195,64,5437,6,0,10029,226,97,30066,147,71,2842,2512,218,3958,115,5414,72,1391,5694,2328,103413
Bharat Trem Stage III,0,0,2,9,174,239,0,0,0,0,256,4,451,10,0,14,2,0,0,39,6,1,14,0,2,9,778,0,219,2,1,0,1,829,39,3101
Bharat Trem Stage III A,0,26,123,7994,35722,27485,10,60,11,30,45855,1836,36666,8415,2421,315,382,17,0,55659,23,22,4005,8,0,16798,21252,39,68229,2,23624,7,2698,118646,21156,499536
Bharat Trem Stage III B,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,3,0,1,0,0,1,0,14
Bharat Stage III CEV,0,2,254,1662,4011,2391,5,101,0,103,4694,997,2808,1704,473,83,906,33,0,7419,241,167,31,254,407,2698,1351,24,4477,14,5006,139,568,5239,2125,50387
CEV STAGE IV,0,0,11,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,0,10,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,33
EURO 1,0,0,0,0,0,0,0,0,0,0,23,5,48,0,0,0,1,0,0,0,4,0,0,0,0,1,2,0,10,0,0,0,0,2,0,96
EURO 2,0,0,2,0,0,0,0,0,0,0,6,3,54,0,0,0,1,0,0,0,2,0,1,0,7,1,1,0,15,1,0,0,5,9,2,110
EURO 3,0,0,3,2,1,1,0,0,0,0,102,2,98,0,0,0,0,0,0,6,1,0,0,0,7,1,2,0,19,0,0,0,1,31,7,284
EURO 4,0,17,7,6,2,13,19,5,71,18,179,35,451,10,2,5,62,0,0,183,4,1,0,4,1,55,67,6,27,2,72,0,15,93,17,1449
EURO 6,0,0,0,1,0,0,3,2,7,2,11,3,29,1,0,1,9,0,0,26,1,0,0,0,0,3,9,2,3,0,4,0,0,3,0,120
EURO 6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
EURO 6B,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6
EURO 6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EURO 6D,0,0,0,0,0,2,1,2,14,1,4,7,6,1,0,0,3,0,0,9,0,0,0,0,0,1,4,1,1,0,7,0,0,4,2,70
Not Applicable,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,18,0,0,0,1,0,2,1,1,3,0,1,0,0,0,0,0,0,0,0,30
Not Available,8965,22602,3631,14086,20195,6666,509,52,23219,47,6592,175,11,3467,83,715,281996,2,1044,18337,864,306,6563,3,12130,4144,1374,95,7830,1,3948,1478,6210,56532,13996,527868
TREM STAGE IV,0,1,7,15,7,3,0,0,1,5,10,0,34,5,4,0,14,0,0,6,0,0,4,0,7,209,12,4,15,1,7,0,0,17,8,396
TREM STAGE V,0,0,0,0,1,0,0,0,0,0,7,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,0,2,0,0,3,2,24
Total,9138,1147673,34981,516908,1266653,668447,46126,18253,638998,74236,1627265,138542,853041,559070,144524,1578997,915012,2043,1054,2307772,33342,37329,1533243,30927,28964,825938,759710,58309,1478778,10360,1970231,56254,245876,3362766,1176609,24157369
