Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,7,357,819,88,5,0,0,31,71,23,407,397,6,969,14,0,0,125,11,3,494,55,2,20,1295,16,77,3,57,0,3,124,6,5485
BHARAT STAGE II,0,106,5,38,1223,1837,21,2,3,12,113,7,82,16,19,691,18,1,0,81,29,4,148,2,13,101,264,480,180,2,45,0,11,17968,28,23550
BHARAT STAGE III,2,48036,367,2957,8972,23855,559,170,80,116,7155,1624,9318,5037,2416,24951,127,46,2,8138,650,323,49878,190,201,3937,8967,573,19541,106,1369,268,1905,7604,3830,243270
BHARAT STAGE III/IV,1,0,187,332,1611,54,2,3,0,1,152,15,422,269,47,16,5,0,0,192,1,19,8,0,46,1007,335,0,147,20,62,4,4,81,24,5067
BHARAT STAGE IV,151,1167603,13749,470407,1203866,492284,46518,20482,700389,80896,1756366,141667,813648,603200,178420,1669801,6649,2655,0,2619796,32197,25461,1350043,23472,7982,834075,668823,64155,1389640,7001,1001970,60217,270965,3068273,1092081,21884902
BHARAT STAGE IV/VI,0,4,4,30,30,5,12,3,61,4,83,14,71,3,0,1,4,0,0,161,0,0,0,0,0,5,21,7,14,0,45,0,9,36,26,653
BHARAT STAGE VI,1,4,27,36,41,27,5,3,4,4,39,8,14,15,1,14,32,0,0,67,1,24,31,2,11,16,32,3,133,0,54,1,5,40,16,711
Bharat Trem Stage III,0,1,2,17,177,22,4,0,0,0,204,5,337,110,0,4,8,0,0,149,22,0,40,0,3,34,319,0,165,1,16,1,4,448,15,2108
Bharat Trem Stage III A,0,51,51,14615,46776,4377,9,36,33,38,51923,972,34516,18418,2748,354,3,19,0,62170,25,6,49749,8,1,14579,15766,57,54025,5,9638,7,3356,104727,24533,513591
Bharat Trem Stage III B,0,2,0,0,0,0,0,0,0,0,5,1,3,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,1,3,4,27
Bharat Stage III CEV,1,2,73,718,2497,373,6,28,0,40,1963,176,945,989,147,62,5,5,0,2466,69,33,81,72,167,851,391,7,1721,10,1824,67,208,1504,805,18306
CEV STAGE IV,0,0,5,0,0,1,0,0,0,0,3,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,3,3,24
CEV STAGE V,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EURO 6AD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EURO 1,0,0,0,1,3,94,0,0,0,0,36,0,37,1,0,0,0,0,0,2,15,0,0,0,0,3,3,0,25,0,0,0,2,1197,0,1419
EURO 2,0,0,0,0,3,218,0,0,0,0,11,1,56,1,0,2,2,0,0,6,0,1,1,0,4,3,4,70,28,0,0,0,8,3445,0,3864
EURO 3,0,2,3,1,23,921,7,1,0,2,364,9,91,5,0,10,9,0,0,27,0,0,21,1,2,16,19,0,771,0,2,1,39,85319,8,87674
EURO 4,0,0,4,4,11,3,9,1,23,1,214,4,384,5,0,3,17,0,0,92,2,0,6,31,0,18,34,2,672,1,5,3,12,7604,12,9177
EURO 6,0,0,0,15,2,9,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,12,1,0,0,1,0,0,3,0,52
EURO 6A,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EURO 6D,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
Not Applicable,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,25,0,0,0,0,0,3,1,0,0,0,5,0,1,0,0,0,0,1,0,40
Not Available,9985,29288,8666,29197,19860,52782,244,73,20901,54,6366,245,46,6813,106,1663,1045230,637,1216,16917,335,7384,5800,7,24689,4507,145181,132,10349,11,1100947,63,6211,55664,7366,2618935
TREM STAGE IV,0,1,8,25,63,8,7,0,1,4,19,4,25,12,1,1,31,0,0,15,5,2,1,0,3,214,163,5,38,0,40,0,5,467,13,1181
TREM STAGE V,0,0,0,1,2,0,0,0,0,0,5,2,0,1,0,0,0,0,0,3,1,0,1,0,0,6,24,0,2,0,2,0,0,10,1,61
Total,10141,1245102,23159,518751,1285979,576964,47408,20802,721496,81203,1825095,144778,860403,635293,183911,1698570,1052156,3363,1218,2710417,33363,33263,1456305,23840,33124,859396,841658,65508,1477531,7160,2116079,60632,282748,3354521,1128771,25420108
