Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,9,0,0,0,3,0,4,2,4,1,12,0,25,1,1,0,1,3,0,73
BHARAT STAGE II,0,11,1,6,0,0,0,0,0,0,2,183,0,1,2,3,6,0,0,1,26,0,5,5,29,1,13,0,16,0,2,0,2,85,0,400
BHARAT STAGE III,0,118,26,81,5,10,0,1,9,1,7,551,6,0,38,117,69,0,0,129,342,38,60,16,275,4,70,0,88,1,14,0,19,13,8,2116
BHARAT STAGE III/IV,0,0,2,45,1,0,0,0,0,0,0,4,0,0,1,22,0,0,0,0,16,0,2,0,0,0,0,0,0,0,1,0,6,0,0,100
BHARAT STAGE IV,0,1739,28,36,1,3,11,2,94,7,20,22,24,2,86,128,22,0,0,56,86,162,56,5,244,4,13,1,62,5,20,3,62,34,38,3076
BHARAT STAGE IV/VI,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,22
BHARAT STAGE VI,8382,818020,35268,551237,1240412,609981,40157,23690,630840,72607,1710902,142474,904948,538960,161727,1636337,694437,5272,48,2533775,40522,27337,1445396,29321,26547,718660,626374,60971,1417513,11612,1788178,53836,257089,3237973,1118588,23219391
Bharat Trem Stage III,0,2,0,0,3,3,0,0,0,1,7,2,10,1,73,15,1,0,0,10,1,0,3,0,0,3,16,0,26,0,10,0,0,9,1,197
Bharat Trem Stage III A,0,24337,736,8387,34358,39999,13,41,3,17,99516,1994,42054,12266,3636,53137,490,52,0,83075,17,14,113360,4,19,19921,26087,54,114003,6,27194,20,3743,139619,17687,865859
Bharat Trem Stage III B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Bharat Stage III CEV,2,1267,14,96,430,1799,12,80,0,60,4335,154,1624,510,107,1627,252,35,0,5048,28,3,1899,5,31,1547,500,15,3197,6,1626,21,219,3534,750,30833
CEV STAGE IV,15,905,428,859,1135,1578,4,46,0,104,3891,545,1953,980,443,3767,507,57,0,7393,497,46,1872,88,374,3148,795,22,3566,43,3526,149,550,4166,1643,45095
CEV STAGE V,0,77,8,21,48,64,0,0,0,17,69,15,71,38,30,100,34,5,0,228,15,4,155,13,14,85,38,0,120,1,169,0,34,224,57,1754
EURO 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
EURO 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,36,0,0,0,0,0,0,0,0,0,0,44
EURO 3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,2,0,1,162,0,0,0,1,0,0,0,3,0,0,176
EURO 4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,7
EURO 6,0,0,0,11,1,0,0,12,8,0,15,1,12,0,0,16,0,0,0,305,0,0,1,0,0,87,0,0,10,0,2,0,1,1,1,484
EURO 6C,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
EURO 6D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,1,13
Not Available,64,66764,207,68764,117995,58356,6197,382,80309,11491,79035,1757,43247,26364,13211,192117,83274,18,324,255621,799,422,100875,560,30,67388,44472,4513,113214,7,131470,9615,19962,369356,45740,2013920
TREM STAGE IV,0,490,22,123,675,2292,4,0,1,3,1182,17,2504,57,43,805,92,0,0,1933,1,0,4112,2,1,170,7080,2,1357,3,1191,7,76,3095,403,27743
TREM STAGE V,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,67,0,0,0,284,0,0,0,0,0,3,19,0,0,0,42,0,0,1,0,438
Total,8463,913738,36744,629669,1395065,714085,46398,24255,711264,84308,1898987,147725,996474,579180,179397,1888269,779196,5439,372,2887858,42360,28030,1667810,30022,27770,811022,705490,65578,1653200,11685,1953453,63651,281767,3758113,1184917,26211754
