Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,1,3,7,31,21,1414,214,0,16,50,9250,4712,27518,101,2,4565,86,1,0,1335,96,1,1617,2,14,326,477,564,6112,52,80,0,56,8314,75,67113
BHARAT STAGE II,3,969,9,201,520,121863,470,7,90,28,6380,829,9448,407,249,1031,107,0,0,2146,11,30,1081,2597,36,786,314,1832,10105,47,118,5,565,668146,579,831009
BHARAT STAGE III,56,761775,521,12337,556083,133847,27546,48,356117,74639,5620,56768,486133,346584,60208,1442601,1962,3,0,81630,223,218,960047,10483,770,521994,4075,48334,953286,1334,2182,158,87941,84435,534231,7614189
BHARAT STAGE III/IV,0,0,66,249,1121,10,0,3,19,3,50,9,452,36,0,21,33,0,0,678,8,73,1,0,28,11,48,0,64,163,37,3,1,47,47,3281
BHARAT STAGE IV,34,101011,361,1852,110776,8273,17918,21,129358,88,3371,38634,34059,407,48203,96023,4138,53,1,22365,580,1135,997,286,583,482,16755,445,94111,3008,1169,65,16514,18208,54753,826037
BHARAT STAGE IV/VI,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,4,0,0,9,0,1,0,0,0,1,1,0,2,2,1,1,0,0,0,27
BHARAT STAGE VI,0,2,10,138,23,3,0,1,0,0,8,2,12,1,2,8,21,0,0,154,3,9,37,0,8,8,20,0,200,6,19,14,1,9,11,730
Bharat Trem Stage III,0,2,14,31,102,3,3,1,1,1,34,5,238,44,5,8,46,0,0,447,15,1,284,1,4,65,112,0,309,3,40,4,5,5194,123,7145
Bharat Trem Stage III A,1,13,0,75,123,23,0,0,0,0,567,2,42,56,0,97,8,0,0,4334,0,0,76534,0,2,18,39,1,1147,1,25,1,38,34756,43,117946
Bharat Trem Stage III B,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,403,1,1,0,1,1,0,0,2,4,419
Bharat Stage III CEV,0,0,8,36,4,6,0,1,0,0,138,2,15,74,0,13,0,0,0,285,1,0,92,0,6,13,16,0,27,2,6,2,1,13,8,769
CEV STAGE IV,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,2,2,0,2,1,19
EURO 1,0,0,0,3,30,68,6,0,11,6,62347,214,20683,8,0,12,18,0,0,24,26,2,15,1,7,5,76,1216,316,7,4,1,58,208380,381,293925
EURO 2,1,1,3,18,477,1269,10,7,1563,23,43060,193,10997,57,1,95,87,0,0,263,2,5,305,5,79,57,355,413,35010,7,44,1,450,1120481,430,1215769
EURO 3,1,32,52,100,297,7533,87,45,24651,26,770883,4369,14912,81,7,1019,898,7,0,533,21,35,514,1089,211,124,2400,106,111532,24,165,21,73366,137083,33372,1185596
EURO 4,3,58,23,109,312,60,841,12,13734,25,174914,613,51841,98,683,1196,1188,6,0,277,87,174,235,13,126,114,4753,140,18995,36,158,11,19760,45090,100709,436394
EURO 6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4
EURO 6A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,24
Not Available,8353,15854,13983,245834,4873,216574,169,15501,21,355,428102,459,60,1394,50,2502,894293,2287,958,2143569,20836,27945,6696,27,18472,9371,783937,627,92541,131,1645127,30405,1366,33858,19077,6685607
TREM STAGE IV,0,0,2,8,9,1,4,0,0,0,3,4,172,1,4,1,12,0,0,17,0,3,0,2,2,14,49,1,13,3,12,0,3,69,31,440
TREM STAGE V,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,1,1,12
Total,8454,879720,15059,261022,674775,490947,47268,15647,525581,75246,1504738,106815,656586,349352,109414,1549205,902902,2357,959,2258072,21909,29632,1048456,14507,20348,533795,813429,53681,1323772,4828,1649191,30694,200125,2364093,743877,19286456
