Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,10,0,0,0,0,0,0,0,33,0,0,0,20,9,0,0,3,14,0,96,2,1,1,21,0,9,0,8,0,0,2,1,230
BHARAT STAGE II,0,10,8,32,8,0,1,0,0,9,0,131,0,0,0,33,39,0,0,7,209,2,49,10,39,1,72,0,14,1,10,0,4,13,1,703
BHARAT STAGE III,0,26782,55,208,31,24,1,3,8,2,52,310,2,1,31,429,74,1,0,118,1227,33,72439,9,145,6,172,1,158,1,21,0,26,28,3,102401
BHARAT STAGE III/IV,0,0,2,4,6,1,0,1,0,0,6,2,0,0,0,19,1,0,0,9,30,1,0,0,2,0,5,0,3,0,1,0,0,0,0,93
BHARAT STAGE IV,0,3959,80,137,169,41,99,31,333,1,190,217,316,9,84,2102,44,1,0,730,175,2401,5174,7,86,29,130,101,428,9,505,8,103,260,30,17989
BHARAT STAGE IV/VI,0,9,6,0,0,0,0,0,0,2,2,2,1,1,0,1,1,0,0,2,0,0,0,0,0,1,1,0,3,0,2,0,0,1,0,35
BHARAT STAGE VI,7029,771288,25788,467954,1021514,444525,48033,18602,545745,64989,1426404,115192,670159,466263,153587,1353650,741401,5847,2,2115196,33668,52245,1217748,26880,24665,585420,514981,48695,1097969,10508,1599040,48221,211158,2723383,943723,19601472
Bharat Trem Stage III,0,3,0,0,115,70,0,0,0,0,74,1,197,3,64,107,0,0,0,141,0,0,15,0,0,7,448,0,131,0,1,0,0,436,8,1821
Bharat Trem Stage III A,1,6710,455,5915,44029,26606,28,34,1,25,62460,1603,41444,10149,3848,57827,1348,44,0,99615,34,22,32040,7,12,14646,24787,74,101028,3,29465,28,3538,121375,16164,705365
Bharat Trem Stage III B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Bharat Stage III CEV,3,22,21,170,464,690,6,67,0,35,3617,123,1384,403,125,1881,429,25,0,3007,21,11,9,11,72,971,433,1,3233,20,1586,28,169,2608,369,22014
CEV STAGE IV,3,16,247,920,842,1007,12,26,0,43,2504,345,1039,480,369,2506,961,56,0,3186,215,99,4,97,209,1888,335,4,2740,30,2794,184,349,2417,702,26629
CEV STAGE V,0,0,5,24,43,48,1,0,0,6,41,1,51,12,12,101,102,0,0,124,3,11,0,4,11,57,23,0,64,0,185,0,16,137,18,1100
EURO 1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,8,0,0,0,7,0,0,0,7,0,0,0,0,0,0,28
EURO 2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,178,0,0,0,16,0,0,0,0,1,0,205
EURO 3,0,0,8,3,0,0,0,0,0,0,3,1,1,0,0,0,4,0,0,0,4,3,0,0,264,1,0,0,5,0,0,0,3,1,0,301
EURO 4,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,1,4,0,1,0,8,0,0,0,2,0,0,0,0,1,0,23
EURO 6,0,0,1,1,2,0,0,9,2,0,1,1,0,1,0,0,0,0,0,28,0,0,0,0,0,0,5,0,4,0,1,0,0,1,0,57
EURO 6A,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
EURO 6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EURO 6D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,14
Not Available,23,44162,45,41274,62391,28199,2718,164,62247,5686,73092,1011,26060,13990,4690,113470,39635,40,413,152167,41,342,38545,36,11,30725,14060,1481,81291,0,67002,4177,15668,163039,11448,1099343
TREM STAGE IV,0,4,0,0,11,9,0,0,0,0,19,0,167,4,0,30,0,0,0,62,0,0,28,0,0,6,323,0,13,0,99,0,2,22,7,806
TREM STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,19
Total,7059,852965,26721,516652,1129644,501220,50899,18938,608336,70799,1568471,118973,740822,491316,162810,1532190,784055,6014,415,2374413,35658,55170,1366148,27064,25710,633759,555797,50357,1287122,10572,1700726,52646,231037,3013726,972475,21580679
