Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,2,3,565,380,1937,281,1,985,605,9966,1524,12286,382,133,7301,32,0,0,2471,32,4,1429,5,16,352,1306,51,3227,46,122,0,94,11160,863,57561
BHARAT STAGE II,29,236238,19,1892,17373,163301,2712,7,65018,14748,80320,8264,182640,75954,10895,399014,523,0,0,8904,75,76,570563,4011,141,126547,3537,20311,230247,239,652,28,21531,646568,125945,3018322
BHARAT STAGE III,51,333081,319,11687,173191,11060,24188,17,232996,37981,31306,38298,257627,178721,36883,682632,1574,28,0,53710,681,650,149885,7545,551,255048,20929,47599,185319,1748,2498,44,42746,44518,117092,2982203
BHARAT STAGE III/IV,0,1,21,88,344,10,4,0,1,84,241,13,1735,14,6,54,5,0,0,419,4,89,0,0,0,9,2423,2,63,78,44,0,4,37,22,5815
BHARAT STAGE IV,15,47500,86,799,43199,17604,16153,9,98676,270,6095,30179,9140,294,25541,13144,1050,52,0,7435,356,1048,257,192,249,274,12962,80,26154,2715,624,29,3342,83186,10969,459678
BHARAT STAGE IV/VI,0,0,4,7,58,2,0,0,0,0,13,3,4,0,0,0,0,0,0,13,0,7,0,0,0,0,52,0,16,0,1,0,0,1,0,181
BHARAT STAGE VI,0,9,8,109,210,14,0,0,7,2,161,5,44,20,158,23,9,0,1,111,6,20,24,0,1,5,384,1,837,2,24,0,5,25,11,2236
Bharat Trem Stage III,1,1,3,23,50,5,0,0,13,1,110,9,155,47,2,27,32,0,0,366,29,0,41619,2,16,54,70,0,356,4,43,1,18,7787,297,51141
Bharat Trem Stage III A,0,5,0,68,484,57,0,1,0,1,1631,3,73,66,4,138,21,0,0,2737,2,4,27,0,4,14,267,0,995,0,34,0,166,215294,115,222211
Bharat Trem Stage III B,0,0,0,2,0,0,0,0,0,0,4,1,1,0,0,4,0,0,0,10,0,0,0,0,0,262,0,0,0,0,2,0,0,3,2,291
Bharat Stage III CEV,0,0,2,27,58,3,0,0,0,0,182,2,30,76,1,8,0,0,0,235,3,1,0,0,2,4,55,0,24,0,18,0,1,9,20,761
CEV STAGE IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
CEV STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
EURO 1,1,1,1,37,31,84,23,0,10,100,28755,1564,12627,8,2,97,49,0,0,31,7,21,12,3,16,9,355,509,1770,12,14,0,106,50266,62,96583
EURO 2,2,8,4,135,270,7284,1803,5,36581,65,92804,3453,28788,76,9,288,150,0,0,526,19,47,97,160,172,103,1261,340,113471,11,51,2,21693,385399,5074,700151
EURO 3,3,12,10,98,145,5775,2422,20,15164,98,307438,4051,26945,75,12,541,248,3,0,178,72,181,102,799,108,103,1912,16,33317,33,66,8,36698,44499,11403,492555
EURO 4,2,5,7,75,75,30,3163,5,91,52,80015,537,20135,56,45,352,178,1,0,108,237,529,46,10,234,80,1123,12,13707,21,36,14,7987,15692,43436,188096
EURO 6,0,0,0,0,0,3,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,32
EURO 6A,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
EURO 6D,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Not Applicable,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,2,0,0,3,0,0,0,0,1,1,0,1,0,0,0,1,27
Not Available,7413,18849,9550,146314,1735,106957,3076,12561,743,184,332691,503,68,214,410,3322,633489,1417,833,1524265,20433,17821,6081,37,19259,8815,440776,961,167346,610,1478207,26260,17681,43984,239896,5292761
TREM STAGE IV,0,1,0,2,2,0,0,0,9,4,7,5,32,4,1,6,5,0,0,19,0,2,0,0,1,9,23,1,3,9,9,1,1,19,55,230
TREM STAGE V,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,11
Total,7517,635716,10037,161928,237608,314126,53825,12626,450294,54216,971747,88414,552332,256009,74102,1106966,637365,1501,834,1601553,21956,20500,770145,12764,20770,391691,487439,69884,776856,5528,1482447,26387,152073,1548447,555264,13570867
