Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,5,959,34,844,28,0,0,26,4366,1956,9393,321,17,428,17,1,0,294,1,10,907,1234,1,23,131,79,416,33,50,0,10,5981,19,27584
BHARAT STAGE II,0,99,8,151,260,27770,33,2,4,17,20385,418,5651,130,21,348,59,0,0,504,17,9,287,676,48,140,102,2353,2320,11,51,3,38,506118,113,568146
BHARAT STAGE III,22,282929,1733,56630,135219,75513,4736,83,84888,30988,34410,11673,136928,178425,38852,649878,1081,4,1,267795,3954,1168,604088,2237,1804,307842,1992,24585,374004,694,2398,6916,52575,76064,334567,3786676
BHARAT STAGE III/IV,1,1,270,242,2300,51,0,4,44,1,290,29,365,99,22,27,15,0,0,786,9,45,22,3,57,56,119,4,144,76,61,3,32,65,81,5324
BHARAT STAGE IV,202,837514,3022,254175,753610,332089,43369,388,604828,55428,1014846,118797,421926,391006,123410,949492,5510,75,2,1779260,18293,9905,613436,14880,1048,447932,18636,40909,905596,4422,8617,34016,199603,410755,673714,11090711
BHARAT STAGE IV/VI,0,0,21,9,7,4,0,0,1,0,1,0,1,1,0,1,0,0,0,15,1,1,0,0,0,1,5,0,1,1,2,2,0,1,1,77
BHARAT STAGE VI,0,4,24,38,40,8,2,0,0,1,16,3,30,3,1,32,29,0,1,157,4,19,38,0,1,27,58,0,140,2,49,6,1,41,25,800
Bharat Trem Stage III,0,1,4,28,189,16,10,0,49,0,203,6,80,123,16,12,9,0,0,644,8,7,68,0,6,27,141,0,107,2,13,5,10,2760,109,4653
Bharat Trem Stage III A,0,41,4,3503,5409,322,0,1,9,12,37048,371,13761,9846,2410,199,0,0,0,39383,7,7,69643,1,0,1126,531,6,11587,0,106,6,3708,13105,11732,223884
Bharat Trem Stage III B,0,0,0,4,0,0,0,0,0,0,7,1,1,2,0,1,0,0,0,6,2,0,0,0,0,243,1,0,2,0,0,0,0,2,2,274
Bharat Stage III CEV,0,0,12,31,9,17,1,1,0,0,53,8,38,66,0,19,4,0,0,218,4,4,89,1,113,14,16,0,22,1,15,10,1,19,14,800
CEV STAGE IV,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,1,2,0,0,1,0,0,1,0,4,1,21
EURO 1,0,0,0,27,24,610,5,1,0,0,17482,121,60479,12,0,6,8,1,0,19,3,0,16,0,1,2,172,5,369,10,1,0,30,51122,18,130544
EURO 2,1,9,7,10,300,368,15,14,0,3,12147,492,73669,61,3,109,98,2,0,154,1,10,178,2,19,65,452,392,7362,18,40,3,186,392319,22,488531
EURO 3,0,30,45,77,331,3610,56,39,10,8,201118,3379,11058,67,7,275,286,2,0,418,3,24,363,351,70,103,1054,27,21517,52,85,9,1262,1452898,2588,1701222
EURO 4,0,6,15,52,109,28,53,14,35,13,226004,940,20440,39,194,126,157,4,0,383,6,22,122,682,18,55,317,13,18070,4,69,14,259,113832,8948,391043
EURO 6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
EURO 6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,37
Not Available,9753,24156,18008,111677,15425,115194,153,18646,17671,300,154195,524,121,4740,24,1802,1011051,2748,1115,468665,6532,16672,5091,14,25884,10767,816985,111,50096,55,1899382,5195,7233,55089,5193,4880267
TREM STAGE IV,0,1,12,12,44,2,4,0,8,3,49,5,227,4,4,3,26,0,0,26,3,1,1,2,6,946,163,0,22,13,34,1,3,717,13,2355
TREM STAGE V,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,13
Total,9979,1144793,23191,427626,913311,556447,48466,19193,707547,86800,1722622,138723,754168,584946,164981,1602786,1018354,2837,1119,2558732,28848,27906,1294350,20083,29077,769372,840876,68484,1391776,5394,1910974,46191,264952,3080898,1037163,23302965
