Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,2,6,567,399,3257,134,0,5375,906,12908,1255,8627,489,98,10258,44,0,0,2263,28,3,2047,4,8,648,1182,40,7807,22,152,4,111,33481,921,93046
BHARAT STAGE II,45,409008,53,3064,51400,98341,14157,12,196472,33193,32985,33591,377912,198486,31064,833136,1023,2,0,9254,196,130,608938,7457,224,291206,5286,59939,40020,247,777,11,16161,707148,130342,4191280
BHARAT STAGE III,41,77981,728,12493,45862,13131,17232,19,102490,3005,56018,27598,12365,1911,30536,4705,1402,18,0,39980,857,914,504,2402,412,596,27548,245,85451,1993,1796,45,8026,83639,40974,702917
BHARAT STAGE III/IV,0,0,19,115,219,9,18,0,0,111,225,9,1148,16,151,47,4,0,0,230,1,83,2,1,1,8,1880,15,258,30,29,0,4,38,6,4677
BHARAT STAGE IV,1,74,101,424,1303,2488,52,0,538,228,4532,156,2845,92,136,182,131,31,1,5906,33,209,47,20,13,60,2653,30,6392,84,298,9,240,91943,537,121789
BHARAT STAGE IV/VI,0,0,10,5,7,2,0,0,0,1,18,0,3,0,0,0,1,0,0,26,2,4,0,0,0,0,53,4,43,1,1,0,4,8,0,193
BHARAT STAGE VI,0,42,87,263,329,45,2,0,4,4,261,8,34,10,62,44,9,0,0,122,7,17,32,0,5,4,311,5,1686,2,11,1,49,128,3,3587
Bharat Trem Stage III,1,1,2,23,54,7,2,0,14,1,102,11,127,19,0,22,35,0,0,203,28,2,27693,0,5,35,55,0,509,4,52,0,23,31612,241,60883
Bharat Trem Stage III A,0,0,0,34,427,41,0,0,3,1,1057,6,92,45,5,94,13,0,0,1541,0,0,9,0,0,10,206,0,3343,0,40,0,130,134464,91,141652
Bharat Trem Stage III B,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,1,0,0,0,4,0,0,0,0,0,171,0,0,4,0,0,1,0,7,0,197
Bharat Stage III CEV,0,2,4,27,65,1,0,0,0,2,143,0,20,39,0,11,0,0,0,135,3,0,0,0,3,2,47,0,102,1,13,0,1,14,9,644
CEV STAGE IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
EURO 1,0,2,0,35,40,148,15,0,926,242,17829,403,243,12,4,90,23,0,0,30,18,11,23,0,2,10,267,1156,8744,5,5,1,150,21968,43,52445
EURO 2,2,5,12,121,189,6928,393,2,65297,153,127814,1943,1586,66,15,628,191,1,0,411,31,85,96,674,27,92,2555,68,105430,11,53,9,48104,107176,3214,473382
EURO 3,2,5,15,196,123,3155,1052,5,1811,296,89772,3070,5721,78,23,220,83,1,0,113,259,219,29,8,282,81,1000,5,26421,21,32,18,6451,2606,27488,170661
EURO 4,0,1,2,6,9,86,41,0,21,52,8255,12,491,8,1,26,16,0,0,11,40,49,3,2,29,9,68,0,949,10,7,1,60,1282,4252,15799
EURO 6,0,0,0,0,0,35,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,59
EURO 6A,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
EURO 6C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EURO 6D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Not Applicable,0,1,0,0,0,0,0,0,0,0,1,0,7,1,0,12,0,0,0,4,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,31
Not Available,6411,16857,8384,75303,2943,59631,2780,10226,1579,56,184468,600,36,236,395,2474,497511,1354,957,1034126,16516,16365,6592,49,12889,6461,347188,978,123351,279,1118451,17566,36210,40167,170409,3819798
TREM STAGE IV,0,0,1,0,1,0,0,0,0,1,4,0,6,0,0,7,0,0,0,5,0,0,0,0,0,2,11,1,4,2,5,0,0,3,5,58
TREM STAGE V,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Total,6503,503981,9424,92677,103370,187306,35878,10264,374530,38262,536408,68663,411264,201508,62490,851961,500486,1408,958,1094366,18019,18093,646015,10617,13901,299395,390311,62486,410523,2712,1121725,17666,115724,1255684,378535,9853113
