Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,2,443,184,1591,50,2,93,150,6571,2388,21024,274,131,5433,28,0,0,2823,69,1,1208,10,9,256,1076,48,9055,63,116,2,101,8657,736,62594
BHARAT STAGE II,5,14356,7,652,4271,119044,338,6,1505,418,32376,1495,24154,15676,2662,37693,176,0,0,4895,28,27,115945,3075,64,6052,2143,2412,75231,131,295,7,3963,514044,55620,1038766
BHARAT STAGE III,52,580512,341,10465,300251,45840,26896,45,289373,73992,12512,42444,472709,260266,48716,1147916,1539,26,1,64070,499,343,706463,9694,841,402675,15524,75703,518536,1981,2482,60,78393,94672,190142,5475974
BHARAT STAGE III/IV,0,0,41,75,584,2,3,0,2,0,91,7,762,22,16,54,11,0,0,323,10,62,0,2,3,9,2413,1,83,61,55,1,4,49,44,4790
BHARAT STAGE IV,27,107568,163,995,70984,35758,17365,15,163563,59,3647,33506,24516,297,43177,82902,1822,37,0,8624,628,1078,221,339,248,318,19281,191,56436,2839,803,24,6410,51626,18559,754026
BHARAT STAGE IV/VI,0,0,0,9,8,0,0,0,1,0,4,2,3,0,1,0,1,0,0,8,1,2,0,0,0,0,60,0,24,2,1,0,0,3,1,131
BHARAT STAGE VI,0,7,6,50,89,8,0,0,18,0,49,9,12,10,226,9,19,1,2,113,2,21,27,2,1,6,381,1,533,3,20,3,0,33,21,1682
Bharat Trem Stage III,3,2,1,35,60,2,0,0,3,3,105,8,175,40,6,31,38,0,0,494,30,1,41994,2,5,47,105,0,453,1,57,2,7,4433,447,48590
Bharat Trem Stage III A,0,7,1,87,224,57,1,1,0,0,2829,4,38,50,10,177,5,0,0,3998,1,1,7977,0,7,12,292,1,887,0,48,0,46,74913,56,91730
Bharat Trem Stage III B,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,211,4,0,0,1,3,0,0,6,1,244
Bharat Stage III CEV,0,1,7,36,15,0,0,0,0,0,216,1,15,58,1,12,1,0,0,300,4,1,10,0,2,7,36,0,19,0,17,1,2,4,35,801
CEV STAGE IV,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,2,0,0,0,5,1,0,0,0,1,0,1,0,1,0,4,0,0,1,3,24
EURO 1,0,2,1,28,45,148,20,0,12,9,34596,1140,9795,13,0,53,27,0,0,41,9,6,14,9,5,5,238,2441,785,16,15,1,78,95807,322,145681
EURO 2,0,2,2,86,346,2503,23,4,3100,7,55308,1576,7006,42,4,78,99,0,0,195,7,18,87,5,35,41,496,860,40830,21,35,0,2264,718835,1463,835378
EURO 3,3,5,11,82,216,10605,245,31,22708,18,673434,4439,25209,49,12,355,294,0,0,465,42,66,105,1203,211,109,1639,23,84198,30,87,15,61268,89125,6939,983241
EURO 4,3,7,17,109,167,48,4693,13,69,20,161031,1007,43625,104,93,631,405,0,0,230,305,723,63,13,255,112,2172,38,18956,20,73,20,17590,27509,71309,351430
EURO 6,0,0,1,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14
EURO 6A,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
EURO 6D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Not Applicable,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,3,0,0,2,0,1,0,0,0,2,0,2,0,0,1,0,23
Not Available,7077,19476,10237,196712,3698,117105,938,14271,327,347,417727,513,56,341,226,3444,777365,1619,1068,1874425,22106,20913,6336,45,21174,8981,528174,1048,156513,995,1724524,28175,2886,41006,253286,6263134
TREM STAGE IV,2,0,2,6,3,1,0,0,6,0,18,2,40,0,2,4,6,0,0,24,3,0,0,1,2,5,19,0,2,8,14,0,1,27,84,282
TREM STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
Total,7172,721945,10840,209870,381148,332714,50572,14389,480780,75025,1400530,88542,629140,277245,95283,1278803,781836,1683,1071,1961048,23745,23263,880452,14400,22864,418846,574060,82767,962544,6172,1728652,28311,173013,1720751,599068,16058544
