Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,14
BHARAT STAGE II,0,0,0,2,0,0,0,0,0,0,0,182,0,0,0,1,1,0,0,0,5,0,33,0,2,0,6,0,1,0,1,0,0,1,0,235
BHARAT STAGE III,0,0,2,16,1,0,1,0,0,0,2,89,3,0,12,36,5,0,0,58,61,12,3,2,49,2,2,0,25,1,0,0,1,0,0,383
BHARAT STAGE III/IV,0,0,0,8,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,2,0,0,59
BHARAT STAGE IV,0,0,14,2,0,0,1,0,28,0,5,2,10,0,4,12,3,0,0,17,37,40,21,1,71,0,2,0,6,0,0,0,20,6,2,304
BHARAT STAGE IV/VI,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
BHARAT STAGE VI,2312,208942,9626,160573,311775,178721,11895,7254,184799,21666,455507,39624,260635,152343,42616,447619,198947,623,271,755739,11402,8044,385955,8108,7826,220049,182188,20164,333706,2881,543199,13493,64323,922673,293305,6468803
Bharat Trem Stage III,0,1,0,0,0,0,0,0,0,0,1,2,0,0,17,3,0,0,0,1,0,0,1,0,0,0,7,0,1,0,1,0,0,2,0,37
Bharat Trem Stage III A,1,6611,185,2058,8087,12223,6,9,4,6,16068,766,12450,3361,1215,16650,252,6,0,30026,6,2,31803,0,2,5605,7807,20,31225,3,9063,7,969,42676,5864,245036
Bharat Trem Stage III B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bharat Stage III CEV,2,255,3,23,101,393,4,22,0,12,1593,37,489,116,33,453,99,4,0,1631,4,0,414,7,21,467,122,3,777,2,540,8,45,719,197,8596
CEV STAGE IV,1,231,111,229,210,363,1,14,0,36,1280,90,481,222,77,671,84,12,0,2055,137,2,282,16,125,824,135,2,526,13,807,55,91,581,298,10062
CEV STAGE V,0,168,44,63,192,391,0,1,0,26,543,27,229,104,56,567,47,4,0,1520,34,2,433,8,13,435,103,1,774,3,499,38,70,911,206,7512
EURO 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
EURO 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
EURO 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,29
EURO 4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
EURO 6,0,0,0,5,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,246,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,266
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Not Available,25,16094,60,17978,31016,16247,1333,105,30401,2749,18072,606,10003,7512,2929,59323,28431,1,22,84340,132,191,34007,266,7,19633,12844,1294,29422,3,44854,2952,4381,107439,17885,602557
TREM STAGE IV,1,232,3,19,320,605,7,0,0,0,294,5,1048,18,13,348,20,1,0,1000,0,0,2194,2,1,86,2436,1,554,0,546,4,22,1543,148,11471
TREM STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,29,0,0,3,0,0,0,1,0,0,0,5,0,0,3,0,58
Total,2342,232534,10050,180976,351702,208943,13248,7410,215234,24495,493369,41471,285349,163677,46972,525701,227892,651,293,876662,11831,8296,455152,8410,8161,247102,205654,21485,397020,2907,599518,16557,69924,1076554,317905,7355447
