Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,2,3,42,44,2608,112,6,50,31,12642,6086,23980,58,2,2027,71,0,0,779,8,2,1023,2,24,111,610,952,7087,53,69,0,33,23809,40,82366
BHARAT STAGE II,0,500,11,208,408,122785,278,5,242,13,11297,1386,9940,261,109,601,105,0,0,1380,5,36,633,2158,57,411,452,2065,6312,55,98,5,436,761829,801,924882
BHARAT STAGE III,122,729273,691,14597,615834,121613,27158,76,417374,73409,5408,56891,409130,400059,64173,1458265,2198,11,7,61864,901,222,924367,10174,758,579415,3650,49206,970435,1571,2461,143,101054,79408,638696,7820614
BHARAT STAGE III/IV,1,1,148,396,1420,32,6,1,24,1,40,15,453,51,1,31,55,0,0,842,7,45,19,0,30,17,71,3,69,137,36,2,63,66,48,4131
BHARAT STAGE IV,38,109165,356,2519,105069,7573,18107,33,157637,75,3509,40679,39792,465,52917,98300,3781,60,2,20436,1171,1003,1147,249,445,516,10284,348,106605,3557,1330,53,20736,16837,56734,881528
BHARAT STAGE IV/VI,0,0,3,7,4,1,0,0,0,0,0,0,0,1,0,0,2,0,0,9,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,34
BHARAT STAGE VI,0,4,10,212,19,6,2,0,2,1,17,2,26,11,2,5,24,0,3,139,1,9,21,0,5,9,28,0,65,4,20,0,2,16,7,672
Bharat Trem Stage III,6,5,9,38,98,4,15,1,5,0,27,6,170,60,2,9,31,0,0,277,4,1,149,0,8,69,243,0,140,4,40,4,12,4759,74,6270
Bharat Trem Stage III A,0,15,2,91,130,81,0,0,5,0,112,4,34,68,2,83,6,0,0,2436,0,0,49884,0,0,14,49,2,899,1,19,0,58,33782,55,87832
Bharat Trem Stage III B,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,610,3,0,0,0,2,0,0,1,3,630
Bharat Stage III CEV,1,1,9,28,9,14,0,0,0,0,71,5,20,83,1,19,1,0,0,219,1,1,93,0,22,62,24,0,15,0,4,1,2,24,19,749
CEV STAGE IV,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,16
EURO 1,0,0,0,3,38,54,4,2,390,10,47051,189,101163,13,0,12,24,0,0,40,64,0,16,1,2,16,261,1048,286,6,6,1,66,159828,63,310657
EURO 2,1,15,2,29,976,580,42,11,464,14,49094,366,30055,125,6,231,224,1,0,438,0,5,359,4,49,114,791,304,36112,7,79,2,430,1112885,109,1233924
EURO 3,3,39,70,119,200,5485,69,62,23044,41,735886,5680,23275,64,5,710,761,0,0,501,12,35,438,829,148,132,2019,63,92240,18,181,22,56705,174423,18854,1142133
EURO 4,1,58,31,85,230,47,322,33,21375,20,222593,626,45913,77,815,954,963,13,0,326,32,170,258,7,110,114,5868,112,22281,34,165,9,34192,41501,103975,503310
EURO 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,11,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,2,0,26
Not Available,8289,18214,12499,275569,7606,202680,638,15336,3284,468,404903,593,83,2088,47,2475,885857,1967,1021,2185461,18463,26855,4371,20,21315,9844,791816,652,69021,134,1621579,35187,3512,26882,3108,6661837
TREM STAGE IV,0,0,3,9,12,1,1,0,4,0,8,7,303,4,4,2,19,0,0,33,0,1,1,1,1,16,77,0,9,6,21,0,4,72,17,636
TREM STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,1,8
Total,8463,857293,13848,293956,732097,463564,46754,15566,623900,74083,1492664,112535,684339,403490,118086,1563735,894124,2052,1033,2275190,20670,28385,982785,13445,22974,591470,816249,54755,1311577,5591,1626112,35429,217306,2436132,822604,19662256
