Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,6,1,0,0,0,0,0,2,1,0,0,0,48,13,0,0,4,14,0,214,0,4,1,117,0,14,2,4,0,0,8,0,453
BHARAT STAGE II,0,10,8,22,10,1,1,0,0,3,2,8,0,0,0,72,41,0,0,4,80,4,79,1,32,2,22,0,22,0,8,1,1,13,2,449
BHARAT STAGE III,0,34832,54,131,39,23,5,3,7,7,39,176,23,5,5,1035,82,0,0,256,373,36,85097,2,192,20,308,1,207,2,43,2,18,43,10,123076
BHARAT STAGE III/IV,0,0,4,1,13,2,0,0,0,0,2,8,0,1,4,11,5,0,0,42,60,1,0,0,35,5,44,0,7,3,3,0,0,2,1,254
BHARAT STAGE IV,1,4775,199,305,839,51,238,53,468,5,372,289,8716,40,285,15588,130,15,0,614,180,81,7737,3,93,97,547,30,1380,52,2780,21,205,1277,46,47512
BHARAT STAGE IV/VI,0,13,14,1,1,0,0,0,0,0,10,0,0,1,0,10,4,0,0,0,0,0,2,0,0,1,1,0,1,0,6,1,0,0,0,66
BHARAT STAGE VI,5616,888181,22469,430785,937527,415420,37639,16282,432531,49724,1166778,111278,578824,453333,151644,1066387,754075,3690,3,1777015,24818,35412,1041503,24970,20868,507958,480487,44602,940543,9892,1447920,43565,186054,2597417,929080,17634290
Bharat Trem Stage III,0,1,0,3,326,354,0,0,0,0,134,1,605,0,1,42,0,0,0,248,0,0,17,0,0,14,1076,0,353,0,0,0,2,1177,28,4382
Bharat Trem Stage III A,7,58,317,8481,38014,27587,8,49,5,40,68525,1968,40771,12173,3457,43148,930,15,0,91219,28,10,2850,13,10,17091,27652,89,90532,6,29648,14,3761,123125,18137,649738
Bharat Trem Stage III B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,6
Bharat Stage III CEV,19,8,277,942,1906,1658,8,92,0,62,5223,494,2374,930,524,3313,1142,2,0,6175,160,158,34,164,369,2868,2250,7,5148,40,3604,190,430,5000,1348,46919
CEV STAGE IV,0,3,106,534,464,233,3,8,0,19,671,140,353,78,91,656,277,0,0,1069,104,47,2,60,69,484,214,2,835,8,905,67,70,1155,196,8923
CEV STAGE V,0,0,1,4,17,21,0,0,0,0,6,2,2,2,0,8,29,0,0,14,0,1,1,0,0,16,0,0,8,0,58,0,0,24,7,221
EURO 1,0,0,0,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,15
EURO 2,0,0,1,1,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,5,3,0,0,71,0,0,0,9,1,0,0,0,1,0,103
EURO 3,0,0,0,3,3,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,7,0,0,108,0,0,0,5,0,0,0,1,0,0,134
EURO 4,0,1,0,0,0,0,0,0,8,0,8,2,0,0,0,4,0,0,0,0,1,4,0,0,3,0,14,0,1,0,1,0,1,3,0,51
EURO 6,0,0,4,2,1,0,2,4,2,0,18,28,2,0,0,2,1,0,0,10,0,0,0,1,2,0,68,0,2,0,3,0,0,4,0,156
EURO 6A,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18
EURO 6B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EURO 6C,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EURO 6D,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
Not Applicable,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,22
Not Available,92,23891,33,16444,30796,10514,730,39,25806,1096,14424,330,641,4055,1147,48301,9151,6,817,46592,17,117,12847,1,13,8269,4649,405,23899,0,30049,2431,5487,66941,6599,396629
TREM STAGE IV,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,2,0,0,0,5,0,0,0,0,0,0,17,0,5,0,7,0,0,5,1,48
Total,5735,951774,23491,457668,1009965,455865,38634,16531,458827,50956,1256226,114728,632316,470619,157158,1178651,765887,3728,820,1923269,25841,35881,1150383,25215,21880,536826,517469,45136,1062976,10006,1515040,46292,196030,2796198,955456,18913477
