Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,0,4,0,0,4,9,0,1,0,0,0,1,0,13,0,3,0,1,6,0,49
BHARAT STAGE II,0,14,2,14,0,0,0,1,0,0,2,49,0,0,1,7,12,0,0,0,59,0,5,13,43,1,9,0,14,0,8,0,0,7,0,261
BHARAT STAGE III,1,388,19,131,7,6,2,9,21,0,13,184,37,1,22,171,29,0,0,130,516,29,703,15,190,2,13,0,83,4,10,4,9,10,1,2760
BHARAT STAGE III/IV,0,0,4,11,1,1,0,1,0,0,0,1,1,0,1,18,0,0,0,0,12,0,0,4,1,0,0,0,2,0,0,0,0,0,0,58
BHARAT STAGE IV,0,3083,58,53,10,180,15,20,102,3,63,19,71,8,37,236,36,0,0,218,97,439,264,2,68,16,8,2,130,6,52,0,52,94,176,5618
BHARAT STAGE IV/VI,0,6,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,18
BHARAT STAGE VI,8021,814294,29465,582238,1151554,487449,46776,22006,584130,71652,1621477,123769,758049,511394,158004,1517642,681075,4950,0,2264628,39061,25581,1307392,28438,26142,672145,584017,52599,1300267,10971,1698198,50038,235316,3030864,963914,21463516
Bharat Trem Stage III,1,14,0,1,65,23,0,1,0,0,35,2,20,0,38,62,0,0,0,93,0,0,114,0,0,8,132,0,136,0,10,1,1,185,4,946
Bharat Trem Stage III A,5,31717,824,7849,40460,29756,8,38,7,34,99061,1970,43026,10798,3083,55766,887,41,0,81167,30,17,116919,5,19,16975,27893,112,114987,0,30877,38,3970,128093,14734,861166
Bharat Trem Stage III B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,7
Bharat Stage III CEV,8,936,21,184,451,1154,5,53,0,47,4007,98,1563,371,183,1930,355,68,0,4168,31,8,1680,5,55,1351,352,6,4071,3,1769,30,206,3153,583,28905
CEV STAGE IV,7,783,344,1281,988,1123,5,32,0,73,3129,323,1369,634,450,3735,914,65,0,4947,373,102,1442,80,327,2418,482,6,3418,26,4023,218,394,2989,1132,37632
CEV STAGE V,0,29,6,23,32,54,0,0,0,9,31,7,40,14,18,72,60,0,0,131,1,14,138,0,4,59,32,0,60,0,171,1,22,119,16,1163
EURO 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
EURO 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,106,0,0,0,5,0,0,0,0,0,0,116
EURO 3,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,169,0,0,0,8,0,0,0,3,0,0,186
EURO 4,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,1,0,0,2,0,5,0,0,0,2,0,1,0,0,0,0,18
EURO 6,0,1,0,1,0,0,0,16,16,0,28,0,0,0,0,28,1,0,0,460,0,0,1,0,0,21,0,0,27,0,14,0,0,0,2,616
EURO 6A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
EURO 6D,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Not Applicable,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,3,1,0,0,4,0,3,0,0,0,0,22
Not Available,26,43821,112,61597,94473,44146,6409,230,73692,9482,92642,1133,30962,21632,9747,166793,75807,29,412,207318,116,399,68301,167,14,46907,25752,2638,100358,0,90304,6311,16919,278474,21581,1598704
TREM STAGE IV,0,248,21,60,268,753,0,0,1,0,567,9,1136,20,17,291,34,0,0,442,0,0,1288,0,1,74,2136,2,565,0,529,8,66,709,158,9403
TREM STAGE V,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,76,0,0,5,0,0,2,2,0,0,0,61,0,0,0,0,167
Total,8069,895337,30879,653450,1288309,564645,53222,22408,657972,81302,1821062,127568,836278,544874,171601,1746772,759215,5153,412,2563787,40314,26591,1498255,28729,27147,739980,640829,55365,1524161,11010,1826035,56649,256959,3444704,1002303,24011346
