Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,1,0,2,71,24,743,317,0,19,80,9932,1711,29062,134,1,2433,54,1,0,1543,180,3,1168,1,14,93,433,140,5634,35,92,0,33,5054,118,59126
BHARAT STAGE II,0,1458,8,272,945,113645,609,1,260,29,8559,2274,7543,811,576,1911,99,0,0,2634,18,19,1860,3379,24,1031,251,1500,12988,59,145,7,734,589466,9433,762548
BHARAT STAGE III,76,587809,567,12622,482742,111756,24286,44,318081,69176,5607,50347,482242,322726,58188,1291043,1891,9,3,68593,313,204,903236,11137,718,463698,4212,48397,824125,1420,2551,70,80295,81447,416475,6726106
BHARAT STAGE III/IV,0,1,52,145,847,4,1,0,0,1,36,8,364,26,0,16,28,0,0,475,7,61,3,1,9,17,62,0,67,99,40,1,6,46,32,2455
BHARAT STAGE IV,28,101109,304,1521,113717,9801,19146,17,126809,101,2357,37098,34993,409,51636,88237,3781,40,1,12949,624,1197,558,280,508,456,20094,323,76190,3410,1133,30,15629,30120,45756,800362
BHARAT STAGE IV/VI,0,0,2,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,6,0,1,0,0,0,0,3,0,8,0,2,0,0,2,1,31
BHARAT STAGE VI,0,1,7,80,16,2,2,0,1,1,5,4,5,1,3,9,16,0,1,90,1,9,28,0,4,5,15,2,311,1,27,0,0,115,7,769
Bharat Trem Stage III,1,0,6,34,90,3,1,0,1,1,43,3,220,40,1,11,34,0,0,453,31,2,703,2,9,63,118,1,331,4,58,4,7,3073,280,5628
Bharat Trem Stage III A,0,11,0,106,82,10,1,0,0,0,1083,2,48,86,0,103,4,0,0,4708,0,1,79963,0,1,13,51,1,979,0,36,0,39,49315,44,136687
Bharat Trem Stage III B,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,0,9,0,0,0,0,0,336,2,0,1,0,2,0,0,5,3,364
Bharat Stage III CEV,0,3,7,30,5,4,0,0,0,0,164,1,12,56,0,12,1,0,0,263,2,1,53,0,13,5,16,0,46,0,13,3,1,15,21,747
CEV STAGE IV,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
EURO 1,0,0,0,5,45,113,3,2,16,4,51805,1114,944,6,1,17,7,0,0,25,15,1,21,0,1,8,45,1274,436,3,8,0,63,175980,203,232165
EURO 2,0,3,0,28,387,2584,9,2,3239,9,30048,224,3344,65,2,61,127,0,0,297,2,11,226,3,14,55,316,394,38077,4,58,1,858,941505,757,1022710
EURO 3,4,10,29,122,231,9193,92,59,29283,25,685628,3437,31445,129,4,817,902,1,0,420,25,40,307,1316,143,93,2396,70,97037,23,160,17,63934,120624,26559,1074575
EURO 4,4,12,28,90,333,77,1320,21,8943,28,154753,859,50227,103,339,1194,1159,7,0,261,133,218,210,8,104,129,3929,84,26345,28,147,11,17746,34396,95490,398736
EURO 6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9
EURO 6A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EURO 6C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,4,0,0,0,0,0,1,0,2,0,0,1,0,19
Not Available,7994,12080,13290,221675,4798,205803,122,15531,30,244,390028,477,55,280,103,2655,933028,1793,882,1937032,23904,27376,6950,31,21467,8611,738130,864,129509,388,1672335,29413,2493,32162,96673,6538206
TREM STAGE IV,0,0,1,7,15,0,1,0,6,0,5,3,65,1,3,0,11,0,0,14,2,2,0,0,1,9,49,0,9,9,16,1,2,37,37,306
TREM STAGE V,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,9
Total,8108,702497,14303,236810,604281,453738,45910,15677,486688,69699,1340061,97564,640572,324878,110857,1388531,941144,1851,887,2029778,25257,29147,995290,16158,23030,474624,770122,53050,1212101,5484,1676825,29558,181840,2063364,691890,17761574
