Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,2,6,31,32,1503,178,2,12,32,4422,3796,23554,55,18,584,45,3,0,707,15,2,787,1,7,43,292,119,7414,59,52,0,18,22964,46,66801
BHARAT STAGE II,2,242,10,165,523,116648,352,2,12,17,40797,731,15279,204,46,468,71,0,0,1193,11,24,405,2372,36,314,178,2640,6656,52,86,7,91,906841,353,1096828
BHARAT STAGE III,128,881600,1258,15330,737693,131062,27709,91,459895,77901,3478,61775,317525,442369,69873,1548200,2184,6,2,96306,5569,338,1031089,11070,1291,635210,2597,62106,966249,1547,2815,303,140946,130389,756740,8622644
BHARAT STAGE III/IV,0,3,296,479,1854,55,0,1,87,5,62,34,444,79,19,33,49,0,0,2588,15,92,56,2,88,30,69,1,133,95,52,2,67,87,57,6934
BHARAT STAGE IV,75,135737,668,5245,117347,15495,17978,45,189926,69,4304,46790,52021,1251,43082,110660,3453,60,0,49904,5877,1179,1548,246,363,611,5916,181,118586,3515,1473,92,36966,44315,57821,1072799
BHARAT STAGE IV/VI,0,0,1,11,1,2,0,0,1,0,1,0,0,1,0,0,1,0,0,27,0,1,0,0,1,1,0,1,3,4,3,1,0,0,0,61
BHARAT STAGE VI,0,5,5,113,33,5,1,1,2,0,15,5,34,4,3,10,28,3,0,261,2,19,35,1,5,10,15,0,109,2,27,2,1,27,17,800
Bharat Trem Stage III,0,2,10,65,127,2,10,3,10,1,33,11,137,45,7,10,21,0,0,284,15,2,85,0,0,61,322,1,141,3,32,8,26,5708,86,7268
Bharat Trem Stage III A,0,31,0,168,165,140,0,1,32,0,170,3,43,83,432,83,5,0,0,2637,0,0,53317,0,0,20,32,0,1539,0,23,0,2039,20390,103,81456
Bharat Trem Stage III B,0,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,480,2,0,0,0,3,1,0,1,1,497
Bharat Stage III CEV,0,1,16,50,3,6,0,1,0,0,52,3,14,102,0,21,6,0,0,304,3,3,115,2,48,5,18,0,24,0,10,4,0,12,21,844
CEV STAGE IV,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,5,18
CEV STAGE V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EURO 1,0,2,2,13,50,498,11,1,4,1,58955,201,165326,14,0,21,21,0,0,53,39,3,18,2,1,13,350,211,302,8,5,1,59,136338,68,362591
EURO 2,0,11,15,51,838,634,33,13,1,1,38961,942,58285,91,2,250,161,6,0,352,6,14,382,5,58,106,829,556,34980,6,93,2,348,1080547,78,1218657
EURO 3,0,27,78,137,154,4537,42,67,2314,9,742887,8622,23891,62,13,328,307,0,0,427,13,30,371,1078,100,106,1035,26,82001,19,145,23,17752,213000,18346,1117947
EURO 4,1,30,21,60,150,23,87,21,9335,10,259495,160,33943,47,458,321,258,9,0,286,20,146,176,5,98,103,972,40,18202,19,90,15,22102,40971,112866,500540
EURO 6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5
EURO 6D,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,1,24
Not Available,9277,25600,15745,308042,11632,197290,1042,17988,20072,473,442247,577,97,3059,36,2776,939616,2195,844,2264826,11972,27554,5344,14,24066,10608,762507,361,81255,91,1898805,39329,3244,34511,3503,7166598
TREM STAGE IV,1,0,4,32,14,1,2,0,4,1,11,2,271,4,5,3,29,0,0,28,3,2,2,0,3,21,65,0,14,9,24,1,2,123,32,713
TREM STAGE V,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,2,0,1,0,1,0,0,3,0,15
Total,9484,1043293,18135,329997,870620,467901,47445,18237,681707,78520,1595893,123652,690868,447470,113994,1663785,946258,2282,846,2420192,23560,29411,1093730,14798,26166,647743,775204,66244,1317611,5429,1903740,39792,223661,2636230,950144,21324042
