Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,30,88,5563,2,5027,0,8,4,27,0,0,0,81,1668,7223,4226,0,0,0,0,2668,7,0,26622
DIESEL,26490,51782,855151,1232,440417,8,179,12761,75096,213,771,16,23398,153312,175663,161141,3,0,2,24,1139550,191,6,3117406
DIESEL/HYBRID,0,2,13,1,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,7,0,0,44
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
ELECTRIC BOV,22,187,1202,0,278,0,0,0,4,0,0,0,48,240,661,20,0,0,0,0,2837,0,0,5499
ETHANOL,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
FUEL CELL HYDROGEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LPG ONLY,6,25,737,2,11,0,0,1,0,0,0,0,3,37,24,23,0,0,0,0,740,0,0,1609
NOT APPLICABLE,453,2061,29674,16,624,0,4,17,50,1,2,0,293,292,3044,71,1,0,0,0,54890,1,0,91494
PETROL,27948,730432,5191493,1319,327973,52,720,3170,45042,75,25,4,162094,766421,849688,155925,2,2,0,1,5689872,110,2,13952370
PETROL/CNG,394,1434,21304,125,49866,4,40,50,131,3,8,0,1615,10715,42698,52010,0,0,0,0,46793,19,0,227209
PETROL/ETHANOL,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PETROL/HYBRID,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
PETROL/LPG,690,844,42214,36,21777,4,41,62,402,0,0,0,209,5056,8153,6263,0,0,1,0,26237,7,0,111996
SOLAR,3,6,26,0,0,0,0,1,4,0,0,0,1,11,25,6,0,0,0,0,89,0,0,172
Total,56036,786861,6147386,2733,845996,68,993,16066,120761,292,806,20,187742,937752,1087179,379685,6,2,3,26,6963689,335,8,17534445
