Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,753,3800,9858,7,11582,0,6,25,669,0,0,0,0,129,3105,2102,349,0,0,0,0,2796,9,0,35190
DIESEL,18659,356938,456658,1451,160016,9,175,45703,52889,213,609,9,1,16221,108538,68757,47422,6,6,1,18,804654,98,6,2139057
DIESEL/HYBRID,0,5,16,0,19,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,12,0,0,56
DUAL DIESEL/CNG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
ELECTRIC BOV,4,655,434,0,56,0,0,1,24,0,0,0,0,16,142,156,32,0,0,0,0,3116,0,0,4636
ETHANOL,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FUEL CELL HYDROGEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LPG ONLY,172,5417,4429,0,26,0,1,19,5,0,0,0,0,3,160,202,108,0,0,0,0,3827,0,0,14369
METHANOL,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NOT APPLICABLE,742,12305,17088,77,164,0,7,32,743,3,14,0,0,187,698,344,27,0,1,0,5,50560,1,0,82998
PETROL,35555,2607441,2439750,3959,245441,159,1948,4848,166099,75,121,0,1,74189,568157,386950,103536,24,0,2,4,4315776,114,4,10954153
PETROL/CNG,833,9999,25510,296,31190,8,58,291,991,0,13,0,0,4654,12521,27776,32541,0,0,0,0,57100,7,1,203789
PETROL/ETHANOL,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
PETROL/HYBRID,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
PETROL/LPG,860,19529,26784,45,10815,5,48,232,798,0,4,0,0,1153,6146,5923,3927,2,0,0,0,52696,2,0,128969
PETROL/METHANOL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOLAR,0,9,9,0,0,0,0,0,0,0,0,0,0,2,3,4,2,0,0,0,0,132,0,0,161
Total,57580,3016101,2980549,5836,459314,181,2246,51151,222219,291,761,9,2,96556,699471,492215,187944,32,7,3,27,5290673,231,11,13563410
