Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,364,491,5025,12,2776,0,2,22,217,0,1,0,15,2701,4012,5231,0,0,0,3258,1,0,24128
DIESEL,23480,36979,846781,1202,442627,8,216,2473,94684,316,706,14,21448,149250,206619,172544,3,0,19,840622,220,9,2840220
DIESEL/HYBRID,0,0,11,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,1,0,38
DUAL DIESEL/CNG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
ELECTRIC BOV,7,37,475,0,353,0,0,0,3,0,0,0,32,91,57,14,0,0,3,1308,0,0,2380
ETHANOL,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
LNG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LPG ONLY,6,9,813,1,51,0,0,1,0,0,0,0,1,12,8,34,0,0,0,756,0,0,1692
NOT APPLICABLE,339,2958,33876,8,899,0,0,7,79,0,2,0,334,252,2932,543,0,0,1,74384,1,0,116615
PETROL,41983,788730,6652294,1769,316147,14,450,4462,22746,103,22,5,270688,1051533,931933,203252,1,1,1,5675910,197,3,15962244
PETROL/CNG,491,1072,41836,252,49051,4,50,86,89,0,43,0,1209,8207,33345,48202,0,0,0,69487,10,0,253434
PETROL/ETHANOL,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
PETROL/HYBRID,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
PETROL/LPG,424,689,30051,35,13754,1,11,95,137,0,0,0,186,3600,6309,6558,0,0,0,19343,9,0,81202
SOLAR,2,4,36,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,102,0,0,152
Total,67096,830969,7611213,3280,825674,27,732,7147,117956,419,774,19,293913,1215646,1185222,436380,4,1,24,6685185,439,12,19282132
